# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  3.699501628179E+000 -7.599497984655E+000  1.568434600454E+001  1.159675754568E-003  9.325225529622E-001
  3.932200719722E-005  3.699277512895E+000 -7.599035440216E+000  1.568342591127E+001  1.159676368986E-003  9.325413844174E-001
  8.847741541467E-005  3.698903998153E+000 -7.598264552703E+000  1.568189244557E+001  1.159677392790E-003  9.325727726548E-001
  1.573003992805E-004  3.698381100052E+000 -7.597185351948E+000  1.567974564209E+001  1.159678825639E-003  9.326167213934E-001
  2.457963722418E-004  3.697708841137E+000 -7.595797879733E+000  1.567698554939E+001  1.159680667059E-003  9.326732358407E-001
  3.539722959954E-004  3.696887250405E+000 -7.594102189802E+000  1.567361222996E+001  1.159682916437E-003  9.327423226946E-001
  4.818366816529E-004  3.695916363309E+000 -7.592098347876E+000  1.566962576028E+001  1.159685573024E-003  9.328239901451E-001
  6.293995911626E-004  3.694796221773E+000 -7.589786431682E+000  1.566502623089E+001  1.159688635936E-003  9.329182478759E-001
  7.966726389935E-004  3.693526874195E+000 -7.587166530975E+000  1.565981374645E+001  1.159692104150E-003  9.330251070674E-001
  9.836689940782E-004  3.692108375468E+000 -7.584238747569E+000  1.565398842582E+001  1.159695976504E-003  9.331445803993E-001
  1.190403382016E-003  3.690540786985E+000 -7.581003195373E+000  1.564755040218E+001  1.159700251699E-003  9.332766820541E-001
  1.416892087541E-003  3.688824176662E+000 -7.577460000428E+000  1.564049982312E+001  1.159704928298E-003  9.334214277205E-001
  1.663152957245E-003  3.686958618949E+000 -7.573609300950E+000  1.563283685077E+001  1.159710004723E-003  9.335788345975E-001
  1.929205402573E-003  3.684944194854E+000 -7.569451247380E+000  1.562456166189E+001  1.159715479255E-003  9.337489213989E-001
  2.215070403073E-003  3.682780991958E+000 -7.564986002428E+000  1.561567444808E+001  1.159721350035E-003  9.339317083581E-001
  2.520770509919E-003  3.680469104443E+000 -7.560213741136E+000  1.560617541586E+001  1.159727615060E-003  9.341272172333E-001
  2.846329849692E-003  3.678008633111E+000 -7.555134650929E+000  1.559606478690E+001  1.159734272188E-003  9.343354713132E-001
  3.191774128432E-003  3.675399685410E+000 -7.549748931686E+000  1.558534279813E+001  1.159741319129E-003  9.345564954230E-001
  3.557130635959E-003  3.672642375464E+000 -7.544056795800E+000  1.557400970198E+001  1.159748753447E-003  9.347903159305E-001
  3.942428250463E-003  3.669736824095E+000 -7.538058468253E+000  1.556206576655E+001  1.159756572563E-003  9.350369607535E-001
  4.347697443358E-003  3.666683158861E+000 -7.531754186690E+000  1.554951127582E+001  1.159764773750E-003  9.352964593667E-001
  4.772970284417E-003  3.663481514082E+000 -7.525144201499E+000  1.553634652989E+001  1.159773354130E-003  9.355688428094E-001
  5.218280447175E-003  3.660132030875E+000 -7.518228775893E+000  1.552257184516E+001  1.159782310676E-003  9.358541436933E-001
  5.683663214611E-003  3.656634857190E+000 -7.511008185998E+000  1.550818755464E+001  1.159791640210E-003  9.361523962117E-001
  6.169155485101E-003  3.652990147844E+000 -7.503482720945E+000  1.549319400818E+001  1.159801339399E-003  9.364636361478E-001
  6.674795778653E-003  3.649198064562E+000 -7.495652682962E+000  1.547759157269E+001  1.159811404758E-003  9.367879008840E-001
  7.200624243425E-003  3.645258776015E+000 -7.487518387479E+000  1.546138063249E+001  1.159821832641E-003  9.371252294122E-001
  7.746682662519E-003  3.641172457861E+000 -7.479080163225E+000  1.544456158954E+001  1.159832619250E-003  9.374756623436E-001
  8.313014461060E-003  3.636939292789E+000 -7.470338352342E+000  1.542713486378E+001  1.159843760621E-003  9.378392419193E-001
  8.899664713569E-003  3.632559470563E+000 -7.461293310490E+000  1.540910089341E+001  1.159855252632E-003  9.382160120217E-001
  9.506680151615E-003  3.628033188069E+000 -7.451945406965E+000  1.539046013523E+001  1.159867090996E-003  9.386060181860E-001
  1.013410917176E-002  3.623360649361E+000 -7.442295024821E+000  1.537121306497E+001  1.159879271262E-003  9.390093076117E-001
  1.078200184380E-002  3.618542065710E+000 -7.432342560988E+000  1.535136017764E+001  1.159891788806E-003  9.394259291758E-001
  1.145040991929E-002  3.613577655657E+000 -7.422088426405E+000  1.533090198785E+001  1.159904638840E-003  9.398559334453E-001
  1.213938684040E-002  3.608467645065E+000 -7.411533046146E+000  1.530983903025E+001  1.159917816400E-003  9.402993726907E-001
  1.284898774901E-002  3.603212267170E+000 -7.400676859558E+000  1.528817185984E+001  1.159931316347E-003  9.407563008998E-001
  1.357926949620E-002  3.597811762641E+000 -7.389520320401E+000  1.526590105240E+001  1.159945133366E-003  9.412267737923E-001
  1.433029065191E-002  3.592266379633E+000 -7.378063896989E+000  1.524302720486E+001  1.159959261963E-003  9.417108488343E-001
  1.510211151509E-002  3.586576373848E+000 -7.366308072336E+000  1.521955093575E+001  1.159973696459E-003  9.422085852542E-001
  1.589479412397E-002  3.580742008595E+000 -7.354253344313E+000  1.519547288559E+001  1.159988430994E-003  9.427200440580E-001
  1.670840226680E-002  3.574763554850E+000 -7.341900225794E+000  1.517079371737E+001  1.160003459515E-003  9.432452880460E-001
  1.754300149280E-002  3.568641291321E+000 -7.329249244823E+000  1.514551411695E+001  1.160018775781E-003  9.437843818297E-001
  1.839865912351E-002  3.562375504512E+000 -7.316300944769E+000  1.511963479353E+001  1.160034373360E-003  9.443373918491E-001
