# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  3.972456696441E+003 -6.432047350514E+004  1.061127087223E+006 -3.136894602843E-008  9.106553171019E-002
  3.932200719722E-005  3.970560237805E+003 -6.428918681919E+004  1.060601264387E+006 -3.136537713104E-008  9.108002794541E-002
  8.847741541467E-005  3.967401357571E+003 -6.423707405992E+004  1.059725437638E+006 -3.135968763984E-008  9.110419444202E-002
  1.573003992805E-004  3.962982879241E+003 -6.416418275608E+004  1.058500423111E+006 -3.135226790283E-008  9.113804036152E-002
  2.457963722418E-004  3.957308750248E+003 -6.407057935366E+004  1.056927361741E+006 -3.134366414143E-008  9.118157853921E-002
  3.539722959954E-004  3.950384036493E+003 -6.395634912169E+004  1.055007717606E+006 -3.133458227918E-008  9.123482549350E-002
  4.818366816529E-004  3.942214915349E+003 -6.382159603162E+004  1.052743275810E+006 -3.132588812386E-008  9.129780143778E-002
  6.293995911626E-004  3.932808667125E+003 -6.366644261025E+004  1.050136139897E+006 -3.131861200518E-008  9.137053029500E-002
  7.966726389935E-004  3.922173665018E+003 -6.349102976649E+004  1.047188728814E+006 -3.131394744338E-008  9.145303971497E-002
  9.836689940782E-004  3.910319363569E+003 -6.329551659251E+004  1.043903773411E+006 -3.131325948977E-008  9.154536109431E-002
  1.190403382016E-003  3.897256285640E+003 -6.308008013928E+004  1.040284312508E+006 -3.131808438058E-008  9.164752959918E-002
  1.416892087541E-003  3.882996007938E+003 -6.284491516721E+004  1.036333688512E+006 -3.133013564961E-008  9.175958419072E-002
  1.663152957245E-003  3.867551145111E+003 -6.259023387219E+004  1.032055542610E+006 -3.135130779343E-008  9.188156765334E-002
  1.929205402573E-003  3.850935332446E+003 -6.231626558758E+004  1.027453809538E+006 -3.138368220279E-008  9.201352662574E-002
  2.215070403073E-003  3.833163207192E+003 -6.202325646270E+004  1.022532711937E+006 -3.142953280962E-008  9.215551163486E-002
  2.520770509919E-003  3.814250388552E+003 -6.171146911829E+004  1.017296754313E+006 -3.149133078011E-008  9.230757713265E-002
  2.846329849692E-003  3.794213456377E+003 -6.138118227979E+004  1.011750716600E+006 -3.157175396186E-008  9.246978153583E-002
  3.191774128432E-003  3.773069928586E+003 -6.103269038890E+004  1.005899647348E+006 -3.167369034457E-008  9.264218726857E-002
  3.557130635959E-003  3.750838237374E+003 -6.066630319416E+004  9.997488565465E+005 -3.180024959745E-008  9.282486080819E-002
  3.942428250463E-003  3.727537704230E+003 -6.028234532141E+004  9.933039080947E+005 -3.195476952049E-008  9.301787273403E-002
  4.347697443358E-003  3.703188513826E+003 -5.988115582472E+004  9.865706119301E+005 -3.214082620997E-008  9.322129777926E-002
  4.772970284417E-003  3.677811686803E+003 -5.946308771880E+004  9.795550158373E+005 -3.236224147561E-008  9.343521488607E-002
  5.218280447175E-003  3.651429051522E+003 -5.902850749349E+004  9.722633969454E+005 -3.262309657671E-008  9.365970726398E-002
  5.683663214611E-003  3.624063214818E+003 -5.857779461143E+004  9.647022529326E+005 -3.292774185163E-008  9.389486245146E-002
  6.169155485101E-003  3.595737531803E+003 -5.811134098967E+004  9.568782929524E+005 -3.328080738904E-008  9.414077238105E-002
  6.674795778653E-003  3.566476074787E+003 -5.762955046617E+004  9.487984282997E+005 -3.368721821368E-008  9.439753344776E-002
  7.200624243425E-003  3.536303601353E+003 -5.713283825215E+004  9.404697628325E+005 -3.415220638295E-008  9.466524658115E-002
  7.746682662519E-003  3.505245521657E+003 -5.662163037126E+004  9.318995831667E+005 -3.468132478603E-008  9.494401732092E-002
  8.313014461060E-003  3.473327864991E+003 -5.609636308652E+004  9.230953486617E+005 -3.528046592810E-008  9.523395589628E-002
  8.899664713569E-003  3.440577245690E+003 -5.555748231613E+004  9.140646812154E+005 -3.595587172512E-008  9.553517730901E-002
  9.506680151615E-003  3.407020828413E+003 -5.500544303904E+004  9.048153548859E+005 -3.671415896786E-008  9.584780142047E-002
  1.013410917176E-002  3.372686292886E+003 -5.444070869144E+004  8.953552853592E+005 -3.756233150473E-008  9.617195304260E-002
  1.078200184380E-002  3.337601798145E+003 -5.386375055518E+004  8.856925192811E+005 -3.850780180709E-008  9.650776203294E-002
  1.145040991929E-002  3.301795946351E+003 -5.327504713909E+004  8.758352234722E+005 -3.955841312383E-008  9.685536339389E-002
  1.213938684040E-002  3.265297746229E+003 -5.267508355445E+004  8.657916740460E+005 -4.072246091280E-008  9.721489737622E-002
  1.284898774901E-002  3.228136576207E+003 -5.206435088550E+004  8.555702454469E+005 -4.200871351846E-008  9.758650958711E-002
  1.357926949620E-002  3.190342147300E+003 -5.144334555617E+004  8.451793994303E+005 -4.342644145539E-008  9.797035110260E-002
  1.433029065191E-002  3.151944465809E+003 -5.081256869409E+004  8.346276740009E+005 -4.498543944260E-008  9.836657858477E-002
  1.510211151509E-002  3.112973795897E+003 -5.017252549288E+004  8.239236723302E+005 -4.669605840283E-008  9.877535440378E-002
  1.589479412397E-002  3.073460622100E+003 -4.952372457394E+004  8.130760516721E+005 -4.856923077788E-008  9.919684676477E-002
  1.670840226680E-002  3.033435611840E+003 -4.886667734867E+004  8.020935122938E+005 -5.061650684637E-008  9.963122983987E-002
  1.754300149280E-002  2.992929577989E+003 -4.820189738220E+004  7.909847864433E+005 -5.285008232406E-008  1.000786839055E-001
  1.839865912351E-002  2.951973441559E+003 -4.752989975976E+004  7.797586273697E+005 -5.528283681464E-008  1.005393954851E-001
