# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526563E-006 -1.017262069952E+005  9.439229626733E-001 -1.925440395392E+003 -1.928203177163E+003
  3.932200719722E-005 -2.543105175136E+004  9.439229618884E-001 -4.818992703717E+002 -4.825896186897E+002
  8.847741541467E-005 -1.130231930164E+004  9.439229580329E-001 -2.145768190575E+002 -2.148833834154E+002
  1.573003992805E-004 -6.357262947672E+003  9.439229476208E-001 -1.210139365814E+002 -1.211861765683E+002
  2.457963722418E-004 -4.068408296183E+003  9.439229256519E-001 -7.770766122127E+001 -7.781772823022E+001
  3.539722959954E-004 -2.825079847529E+003  9.439228857056E-001 -5.418323618749E+001 -5.425953023826E+001
  4.818366816529E-004 -2.075392011604E+003  9.439228199161E-001 -3.999872010794E+001 -4.005465014841E+001
  6.293995911626E-004 -1.588815776243E+003  9.439227189947E-001 -3.079239295659E+001 -3.083510598998E+001
  7.966726389935E-004 -1.255220715579E+003  9.439225722140E-001 -2.448053399111E+001 -2.451418550726E+001
  9.836689940782E-004 -1.016602135495E+003  9.439223674201E-001 -1.996566643776E+001 -1.999283632357E+001
  1.190403382016E-003 -8.400513767914E+002  9.439220910205E-001 -1.662514259922E+001 -1.664751683155E+001
  1.416892087541E-003 -7.057700503752E+002  9.439217279903E-001 -1.408436740727E+001 -1.410309417203E+001
  1.663152957245E-003 -6.012676077950E+002  9.439212618680E-001 -1.210701366056E+001 -1.212290185830E+001
  1.929205402573E-003 -5.183481233601E+002  9.439206747524E-001 -1.053801049003E+001 -1.055164639232E+001
  2.215070403073E-003 -4.514529193350E+002  9.439199473057E-001 -9.272185028646E+000 -9.284003914666E+000
  2.520770509919E-003 -3.967041014107E+002  9.439190587465E-001 -8.236165641603E+000 -8.246497453856E+000
  2.846329849692E-003 -3.513296254502E+002  9.439179868506E-001 -7.377503911972E+000 -7.386603294907E+000
  3.191774128432E-003 -3.133053780630E+002  9.439167079504E-001 -6.657902632673E+000 -6.665969249005E+000
  3.557130635959E-003 -2.811254638474E+002  9.439151969289E-001 -6.048869530389E+000 -6.056062137646E+000
  3.942428250463E-003 -2.536507797910E+002  9.439134272215E-001 -5.528852220226E+000 -5.535298634065E+000
  4.347697443358E-003 -2.300068054477E+002  9.439113708112E-001 -5.081304346605E+000 -5.087108627766E+000
  4.772970284417E-003 -2.095131417987E+002  9.439089982270E-001 -4.693352424542E+000 -4.698600151840E+000
  5.218280447175E-003 -1.916340085825E+002  9.439062785416E-001 -4.354859225280E+000 -4.359621423942E+000
  5.683663214611E-003 -1.759428668168E+002  9.439031793679E-001 -4.057754417347E+000 -4.062090526367E+000
  6.169155485101E-003 -1.620967411853E+002  9.438996668565E-001 -3.795548733737E+000 -3.799508875753E+000
  6.674795778653E-003 -1.498173177370E+002  9.438957056933E-001 -3.562976331279E+000 -3.566603068990E+000
  7.200624243425E-003 -1.388768482001E+002  9.438912590960E-001 -3.355728093449E+000 -3.359057803149E+000
  7.746682662519E-003 -1.290875131414E+002  9.438862888110E-001 -3.170250376228E+000 -3.173314332412E+000
  8.313014461060E-003 -1.202933069206E+002  9.438807551101E-001 -3.003591467524E+000 -3.006416707056E+000
  8.899664713569E-003 -1.123637836013E+002  9.438746167872E-001 -2.853283256792E+000 -2.855893273190E+000
  9.506680151615E-003 -1.051891916055E+002  9.438678311547E-001 -2.717249180354E+000 -2.719664485924E+000
  1.013410917176E-002 -9.867665554529E+001  9.438603540406E-001 -2.593731979820E+000 -2.595970564066E+000
  1.078200184380E-002 -9.274715535088E+001  9.438521397838E-001 -2.481236545719E+000 -2.483314251704E+000
  1.145040991929E-002 -8.733311794502E+001  9.438431412307E-001 -2.378484350836E+000 -2.380415186118E+000
  1.213938684040E-002 -8.237648351994E+001  9.438333097318E-001 -2.284376863228E+000 -2.286173258275E+000
  1.284898774901E-002 -7.782714245929E+001  9.438225951371E-001 -2.197965972040E+000 -2.199638996183E+000
  1.357926949620E-002 -7.364166388185E+001  9.438109457921E-001 -2.118429930937E+000 -2.119989473788E+000
  1.433029065191E-002 -6.978225524452E+001  9.437983085339E-001 -2.045053673292E+000 -2.046508597900E+000
  1.510211151509E-002 -6.621590623276E+001  9.437846286869E-001 -1.977212614179E+000 -1.978570886933E+000
  1.589479412397E-002 -6.291368055481E+001  9.437698500581E-001 -1.914359250784E+000 -1.915628052073E+000
  1.670840226680E-002 -5.985012714155E+001  9.437539149327E-001 -1.856012022014E+000 -1.857197840906E+000
  1.754300149280E-002 -5.700278828629E+001  9.437367640700E-001 -1.801746002275E+000 -1.802854717818E+000
  1.839865912351E-002 -5.435178690397E+001  9.437183366986E-001 -1.751185092210E+000 -1.752222043536E+000
  1.927544426443E-002 -5.187947869225E+001  9.436985705112E-001 -1.703995437422E+000 -1.704965484397E+000
  2.017342781695E-002 -4.957015778746E+001  9.436774016604E-001 -1.659879859345E+000 -1.660787435221E+000
  2.109268249069E-002 -4.740980671574E+001  9.436547647538E-001 -1.618573124196E+000 -1.619422281477E+000
  2.203328281612E-002 -4.538588318162E+001  9.436305928488E-001 -1.579837908915E+000 -1.580632359426E+000
  2.299530515754E-002 -4.348713762001E+001  9.436048174476E-001 -1.543461349161E+000 -1.544204499163E+000
  2.397882772639E-002 -4.170345654134E+001  9.435773684925E-001 -1.509252075326E+000 -1.509947056377E+000
  2.498393059493E-002 -4.002572758518E+001  9.435481743603E-001 -1.477037659285E+000 -1.477687355434E+000
  2.601069571024E-002 -3.844572291106E+001  9.435171618575E-001 -1.446662408095E+000 -1.447269479908E+000
