# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   0.9990
  9.830308526563E-006  1.923594091553E+000 -1.975796406072E+000  2.048471218733E+000
  3.932200719722E-005  1.923535822851E+000 -1.975735993960E+000  2.048418048899E+000
  8.847741541467E-005  1.923438707216E+000 -1.975635305313E+000  2.048329427874E+000
  1.573003992805E-004  1.923302742951E+000 -1.975494337440E+000  2.048205348706E+000
  2.457963722418E-004  1.923127927677E+000 -1.975313086574E+000  2.048045801664E+000
  3.539722959954E-004  1.922914258342E+000 -1.975091547876E+000  2.047850774237E+000
  4.818366816529E-004  1.922661731215E+000 -1.974829715433E+000  2.047620251140E+000
  6.293995911626E-004  1.922370341888E+000 -1.974527582260E+000  2.047354214311E+000
  7.966726389935E-004  1.922040085283E+000 -1.974185140303E+000  2.047052642919E+000
  9.836689940782E-004  1.921670955646E+000 -1.973802380441E+000  2.046715513362E+000
  1.190403382016E-003  1.921262946554E+000 -1.973379292488E+000  2.046342799272E+000
  1.416892087541E-003  1.920816050914E+000 -1.972915865197E+000  2.045934471519E+000
  1.663152957245E-003  1.920330260970E+000 -1.972412086262E+000  2.045490498215E+000
  1.929205402573E-003  1.919805568300E+000 -1.971867942319E+000  2.045010844718E+000
  2.215070403073E-003  1.919241963820E+000 -1.971283418956E+000  2.044495473637E+000
  2.520770509919E-003  1.918639437792E+000 -1.970658500712E+000  2.043944344836E+000
  2.846329849692E-003  1.917997979819E+000 -1.969993171081E+000  2.043357415442E+000
  3.191774128432E-003  1.917317578855E+000 -1.969287412519E+000  2.042734639850E+000
  3.557130635959E-003  1.916598223206E+000 -1.968541206450E+000  2.042075969727E+000
  3.942428250463E-003  1.915839900536E+000 -1.967754533268E+000  2.041381354022E+000
  4.347697443358E-003  1.915042597866E+000 -1.966927372342E+000  2.040650738973E+000
  4.772970284417E-003  1.914206301584E+000 -1.966059702027E+000  2.039884068112E+000
  5.218280447175E-003  1.913330997447E+000 -1.965151499665E+000  2.039081282277E+000
  5.683663214611E-003  1.912416670587E+000 -1.964202741595E+000  2.038242319617E+000
  6.169155485101E-003  1.911463305513E+000 -1.963213403156E+000  2.037367115602E+000
  6.674795778653E-003  1.910470886122E+000 -1.962183458699E+000  2.036455603035E+000
  7.200624243425E-003  1.909439395698E+000 -1.961112881590E+000  2.035507712058E+000
  7.746682662519E-003  1.908368816923E+000 -1.960001644222E+000  2.034523370163E+000
  8.313014461060E-003  1.907259131880E+000 -1.958849718019E+000  2.033502502208E+000
  8.899664713569E-003  1.906110322061E+000 -1.957657073446E+000  2.032445030420E+000
  9.506680151615E-003  1.904922368373E+000 -1.956423680022E+000  2.031350874414E+000
  1.013410917176E-002  1.903695251145E+000 -1.955149506322E+000  2.030219951200E+000
  1.078200184380E-002  1.902428950133E+000 -1.953834519991E+000  2.029052175201E+000
  1.145040991929E-002  1.901123444531E+000 -1.952478687755E+000  2.027847458262E+000
  1.213938684040E-002  1.899778712976E+000 -1.951081975428E+000  2.026605709664E+000
  1.284898774901E-002  1.898394733558E+000 -1.949644347922E+000  2.025326836142E+000
  1.357926949620E-002  1.896971483826E+000 -1.948165769265E+000  2.024010741897E+000
  1.433029065191E-002  1.895508940795E+000 -1.946646202603E+000  2.022657328612E+000
  1.510211151509E-002  1.894007080961E+000 -1.945085610219E+000  2.021266495468E+000
  1.589479412397E-002  1.892465880302E+000 -1.943483953541E+000  2.019838139160E+000
  1.670840226680E-002  1.890885314294E+000 -1.941841193158E+000  2.018372153917E+000
  1.754300149280E-002  1.889265357918E+000 -1.940157288830E+000  2.016868431515E+000
  1.839865912351E-002  1.887605985666E+000 -1.938432199501E+000  2.015326861302E+000
  1.927544426443E-002  1.885907171557E+000 -1.936665883318E+000  2.013747330209E+000
  2.017342781695E-002  1.884168889147E+000 -1.934858297638E+000  2.012129722776E+000
  2.109268249069E-002  1.882391111535E+000 -1.933009399047E+000  2.010473921170E+000
  2.203328281612E-002  1.880573811378E+000 -1.931119143376E+000  2.008779805206E+000
  2.299530515754E-002  1.878716960900E+000 -1.929187485714E+000  2.007047252369E+000
  2.397882772639E-002  1.876820531908E+000 -1.927214380424E+000  2.005276137834E+000
  2.498393059493E-002  1.874884495798E+000 -1.925199781160E+000  2.003466334494E+000
  2.601069571024E-002  1.872908823572E+000 -1.923143640884E+000  2.001617712978E+000
  2.705920690860E-002  1.870893485847E+000 -1.921045911885E+000  1.999730141680E+000
  2.812954993023E-002  1.868838452873E+000 -1.918906545794E+000  1.997803486782E+000
  2.922181243436E-002  1.866743694541E+000 -1.916725493602E+000  1.995837612280E+000
  3.033608401473E-002  1.864609180398E+000 -1.914502705683E+000  1.993832380010E+000
  3.147245621542E-002  1.862434879664E+000 -1.912238131807E+000  1.991787649680E+000
  3.263102254705E-002  1.860220761245E+000 -1.909931721167E+000  1.989703278890E+000
  3.381187850339E-002  1.857966793744E+000 -1.907583422391E+000  1.987579123169E+000
  3.501512157837E-002  1.855672945481E+000 -1.905193183572E+000  1.985415036003E+000
  3.624085128345E-002  1.853339184507E+000 -1.902760952280E+000  1.983210868862E+000
  3.748916916538E-002  1.850965478619E+000 -1.900286675591E+000  1.980966471236E+000
  3.876017882444E-002  1.848551795375E+000 -1.897770300106E+000  1.978681690667E+000
  4.005398593302E-002  1.846098102116E+000 -1.895211771974E+000  1.976356372779E+000
  4.137069825459E-002  1.843604365976E+000 -1.892611036918E+000  1.973990361318E+000
