# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  1.622123099967E+003 -1.970687891208E+004  2.452173589276E+005 -2.718699971802E-008  1.227474509123E-001
  3.932200719722E-005  1.621542017259E+003 -1.969964839617E+004  2.451250980800E+005 -2.720338076811E-008  1.227621114231E-001
  8.847741541467E-005  1.620573969081E+003 -1.968760294984E+004  2.449714010662E+005 -2.723055478078E-008  1.227865504975E-001
  1.573003992805E-004  1.619219589497E+003 -1.967075068755E+004  2.447563744060E+005 -2.726833205369E-008  1.228207754730E-001
  2.457963722418E-004  1.617479765325E+003 -1.964910295804E+004  2.444801670714E+005 -2.731644374120E-008  1.228647966281E-001
  3.539722959954E-004  1.615355635261E+003 -1.962267433271E+004  2.441429703295E+005 -2.737454510167E-008  1.229186271888E-001
  4.818366816529E-004  1.612848588761E+003 -1.959148259089E+004  2.437450175432E+005 -2.744221255443E-008  1.229822833357E-001
  6.293995911626E-004  1.609960264675E+003 -1.955554870171E+004  2.432865839263E+005 -2.751894515191E-008  1.230557842142E-001
  7.966726389935E-004  1.606692549634E+003 -1.951489680285E+004  2.427679862557E+005 -2.760415997678E-008  1.231391519455E-001
  9.836689940782E-004  1.603047576200E+003 -1.946955417604E+004  2.421895825403E+005 -2.769719613175E-008  1.232324116396E-001
  1.190403382016E-003  1.599027720771E+003 -1.941955121937E+004  2.415517716470E+005 -2.779730890072E-008  1.233355914107E-001
  1.416892087541E-003  1.594635601249E+003 -1.936492141653E+004  2.408549928838E+005 -2.790367060164E-008  1.234487223934E-001
  1.663152957245E-003  1.589874074474E+003 -1.930570130284E+004  2.400997255421E+005 -2.801536981334E-008  1.235718387613E-001
  1.929205402573E-003  1.584746233430E+003 -1.924193042835E+004  2.392864883967E+005 -2.813140794887E-008  1.237049777476E-001
  2.215070403073E-003  1.579255404211E+003 -1.917365131786E+004  2.384158391658E+005 -2.825069837236E-008  1.238481796671E-001
  2.520770509919E-003  1.573405142779E+003 -1.910090942793E+004  2.374883739311E+005 -2.837206342386E-008  1.240014879400E-001
  2.846329849692E-003  1.567199231486E+003 -1.902375310113E+004  2.365047265184E+005 -2.849423438009E-008  1.241649491184E-001
  3.191774128432E-003  1.560641675388E+003 -1.894223351730E+004  2.354655678402E+005 -2.861584729761E-008  1.243386129140E-001
  3.557130635959E-003  1.553736698343E+003 -1.885640464209E+004  2.343716052007E+005 -2.873544084397E-008  1.245225322274E-001
  3.942428250463E-003  1.546488738907E+003 -1.876632317276E+004  2.332235815641E+005 -2.885145419274E-008  1.247167631810E-001
  4.347697443358E-003  1.538902446017E+003 -1.867204848135E+004  2.320222747872E+005 -2.896222366136E-008  1.249213651517E-001
  4.772970284417E-003  1.530982674491E+003 -1.857364255520E+004  2.307684968175E+005 -2.906597849925E-008  1.251364008074E-001
  5.218280447175E-003  1.522734480323E+003 -1.847116993506E+004  2.294630928579E+005 -2.916084154604E-008  1.253619361450E-001
  5.683663214611E-003  1.514163115801E+003 -1.836469765068E+004  2.281069404980E+005 -2.924482001196E-008  1.255980405300E-001
  6.169155485101E-003  1.505274024437E+003 -1.825429515407E+004  2.267009488147E+005 -2.931580593441E-008  1.258447867392E-001
  6.674795778653E-003  1.496072835733E+003 -1.814003425053E+004  2.252460574425E+005 -2.937157097837E-008  1.261022510045E-001
  7.200624243425E-003  1.486565359768E+003 -1.802198902745E+004  2.237432356142E+005 -2.940976307661E-008  1.263705130604E-001
  7.746682662519E-003  1.476757581633E+003 -1.790023578102E+004  2.221934811740E+005 -2.942789899219E-008  1.266496561921E-001
  8.313014461060E-003  1.466655655701E+003 -1.777485294097E+004  2.205978195643E+005 -2.942336370224E-008  1.269397672873E-001
  8.899664713569E-003  1.456265899765E+003 -1.764592099339E+004  2.189573027863E+005 -2.939340288707E-008  1.272409368896E-001
  9.506680151615E-003  1.445594789015E+003 -1.751352240166E+004  2.172730083379E+005 -2.933511708068E-008  1.275532592545E-001
  1.013410917176E-002  1.434648949900E+003 -1.737774152581E+004  2.155460381278E+005 -2.924545931332E-008  1.278768324086E-001
  1.078200184380E-002  1.423435153853E+003 -1.723866454011E+004  2.137775173688E+005 -2.912122430611E-008  1.282117582096E-001
  1.145040991929E-002  1.411960310896E+003 -1.709637934926E+004  2.119685934512E+005 -2.895904800367E-008  1.285581424114E-001
  1.213938684040E-002  1.400231463146E+003 -1.695097550306E+004  2.101204347984E+005 -2.875539636441E-008  1.289160947293E-001
  1.284898774901E-002  1.388255778200E+003 -1.680254410992E+004  2.082342297039E+005 -2.850655974505E-008  1.292857289101E-001
  1.357926949620E-002  1.376040542440E+003 -1.665117774900E+004  2.063111851548E+005 -2.820864595112E-008  1.296671628035E-001
  1.433029065191E-002  1.363593154243E+003 -1.649697038136E+004  2.043525256399E+005 -2.785757455429E-008  1.300605184374E-001
  1.510211151509E-002  1.350921117109E+003 -1.634001726013E+004  2.023594919456E+005 -2.744906407525E-008  1.304659220954E-001
  1.589479412397E-002  1.338032032723E+003 -1.618041483973E+004  2.003333399410E+005 -2.697862576197E-008  1.308835043982E-001
  1.670840226680E-002  1.324933593951E+003 -1.601826068439E+004  1.982753393537E+005 -2.644155807009E-008  1.313134003870E-001
  1.754300149280E-002  1.311633577782E+003 -1.585365337601E+004  1.961867725368E+005 -2.583293099906E-008  1.317557496112E-001
  1.839865912351E-002  1.298139838217E+003 -1.568669242143E+004  1.940689332301E+005 -2.514758129407E-008  1.322106962190E-001
