# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  1.622123100003E+003 -1.970687891336E+004  2.452173589637E+005  2.719759260628E-008  1.227474509114E-001
  3.932200719722E-005  1.621542017295E+003 -1.969964839745E+004  2.451250981161E+005  2.721396630482E-008  1.227621114222E-001
  8.847741541467E-005  1.620573969116E+003 -1.968760295112E+004  2.449714011022E+005  2.724112854148E-008  1.227865504966E-001
  1.573003992805E-004  1.619219589532E+003 -1.967075068883E+004  2.447563744421E+005  2.727888917215E-008  1.228207754721E-001
  2.457963722418E-004  1.617479765360E+003 -1.964910295931E+004  2.444801671073E+005  2.732697918070E-008  1.228647966272E-001
  3.539722959954E-004  1.615355635296E+003 -1.962267433399E+004  2.441429703654E+005  2.738505413817E-008  1.229186271879E-001
  4.818366816529E-004  1.612848588796E+003 -1.959148259216E+004  2.437450175790E+005  2.745269062880E-008  1.229822833349E-001
  6.293995911626E-004  1.609960264709E+003 -1.955554870297E+004  2.432865839619E+005  2.752938765101E-008  1.230557842133E-001
  7.966726389935E-004  1.606692549669E+003 -1.951489680411E+004  2.427679862911E+005  2.761456180047E-008  1.231391519446E-001
  9.836689940782E-004  1.603047576235E+003 -1.946955417729E+004  2.421895825756E+005  2.770755302802E-008  1.232324116387E-001
  1.190403382016E-003  1.599027720805E+003 -1.941955122061E+004  2.415517716821E+005  2.780761561708E-008  1.233355914098E-001
  1.416892087541E-003  1.594635601283E+003 -1.936492141776E+004  2.408549929188E+005  2.791392307695E-008  1.234487223925E-001
  1.663152957245E-003  1.589874074508E+003 -1.930570130406E+004  2.400997255769E+005  2.802556339583E-008  1.235718387604E-001
  1.929205402573E-003  1.584746233463E+003 -1.924193042957E+004  2.392864884312E+005  2.814153759693E-008  1.237049777468E-001
  2.215070403073E-003  1.579255404244E+003 -1.917365131906E+004  2.384158392001E+005  2.826075964948E-008  1.238481796662E-001
  2.520770509919E-003  1.573405142812E+003 -1.910090942913E+004  2.374883739651E+005  2.838205249973E-008  1.240014879392E-001
  2.846329849692E-003  1.567199231518E+003 -1.902375310232E+004  2.365047265521E+005  2.850414607469E-008  1.241649491176E-001
  3.191774128432E-003  1.560641675420E+003 -1.894223351848E+004  2.354655678737E+005  2.862567767510E-008  1.243386129131E-001
  3.557130635959E-003  1.553736698374E+003 -1.885640464325E+004  2.343716052339E+005  2.874518547110E-008  1.245225322266E-001
  3.942428250463E-003  1.546488738937E+003 -1.876632317391E+004  2.332235815969E+005  2.886110863842E-008  1.247167631802E-001
  4.347697443358E-003  1.538902446047E+003 -1.867204848248E+004  2.320222748197E+005  2.897178371207E-008  1.249213651509E-001
  4.772970284417E-003  1.530982674521E+003 -1.857364255632E+004  2.307684968497E+005  2.907544067735E-008  1.251364008066E-001
  5.218280447175E-003  1.522734480353E+003 -1.847116993617E+004  2.294630928897E+005  2.917020088039E-008  1.253619361442E-001
  5.683663214611E-003  1.514163115829E+003 -1.836469765177E+004  2.281069405294E+005  2.925407247737E-008  1.255980405292E-001
  6.169155485101E-003  1.505274024465E+003 -1.825429515515E+004  2.267009488458E+005  2.932494778822E-008  1.258447867384E-001
  6.674795778653E-003  1.496072835761E+003 -1.814003425159E+004  2.252460574732E+005  2.938059853471E-008  1.261022510037E-001
  7.200624243425E-003  1.486565359796E+003 -1.802198902849E+004  2.237432356445E+005  2.941867216848E-008  1.263705130596E-001
  7.746682662519E-003  1.476757581659E+003 -1.790023578204E+004  2.221934812039E+005  2.943668533976E-008  1.266496561913E-001
  8.313014461060E-003  1.466655655727E+003 -1.777485294198E+004  2.205978195937E+005  2.943202445587E-008  1.269397672865E-001
  8.899664713569E-003  1.456265899790E+003 -1.764592099438E+004  2.189573028154E+005  2.940193377565E-008  1.272409368888E-001
  9.506680151615E-003  1.445594789040E+003 -1.751352240264E+004  2.172730083666E+005  2.934351543460E-008  1.275532592538E-001
  1.013410917176E-002  1.434648949925E+003 -1.737774152677E+004  2.155460381560E+005  2.925372086089E-008  1.278768324078E-001
  1.078200184380E-002  1.423435153876E+003 -1.723866454105E+004  2.137775173965E+005  2.912934623648E-008  1.282117582089E-001
  1.145040991929E-002  1.411960310919E+003 -1.709637935018E+004  2.119685934785E+005  2.896702611272E-008  1.285581424107E-001
  1.213938684040E-002  1.400231463168E+003 -1.695097550397E+004  2.101204348252E+005  2.876322849820E-008  1.289160947286E-001
  1.284898774901E-002  1.388255778221E+003 -1.680254411081E+004  2.082342297302E+005  2.851424234688E-008  1.292857289094E-001
  1.357926949620E-002  1.376040542461E+003 -1.665117774986E+004  2.063111851807E+005  2.821617582940E-008  1.296671628028E-001
  1.433029065191E-002  1.363593154263E+003 -1.649697038221E+004  2.043525256653E+005  2.786494897817E-008  1.300605184367E-001
  1.510211151509E-002  1.350921117129E+003 -1.634001726096E+004  2.023594919705E+005  2.745628011815E-008  1.304659220948E-001
  1.589479412397E-002  1.338032032742E+003 -1.618041484054E+004  2.003333399655E+005  2.698568114396E-008  1.308835043976E-001
  1.670840226680E-002  1.324933593970E+003 -1.601826068518E+004  1.982753393776E+005  2.644845015414E-008  1.313134003863E-001
  1.754300149280E-002  1.311633577799E+003 -1.585365337678E+004  1.961867725602E+005  2.583965729774E-008  1.317557496106E-001
  1.839865912351E-002  1.298139838235E+003 -1.568669242218E+004  1.940689332530E+005  2.515413860114E-008  1.322106962184E-001
