# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526563E-006  4.448757416579E-006  4.525495016541E-001 -1.162960384164E+000
  3.932200719722E-005  1.779470521691E-005  4.525152052349E-001 -1.162875071614E+000
  8.847741541467E-005  4.003687001123E-005  4.524580471306E-001 -1.162732891000E+000
  1.573003992805E-004  7.117362934389E-005  4.523780312330E-001 -1.162533852776E+000
  2.457963722418E-004  1.112027114846E-004  4.522751629913E-001 -1.162277971579E+000
  3.539722959954E-004  1.601211951358E-004  4.521494494124E-001 -1.161965266228E+000
  4.818366816529E-004  2.179255090572E-004  4.520008990622E-001 -1.161595759720E+000
  6.293995911626E-004  2.846114316062E-004  4.518295220658E-001 -1.161169479239E+000
  7.966726389935E-004  3.601740901957E-004  4.516353301092E-001 -1.160686456147E+000
  9.836689940782E-004  4.446079606682E-004  4.514183364404E-001 -1.160146725989E+000
  1.190403382016E-003  5.379068665875E-004  4.511785558705E-001 -1.159550328490E+000
  1.416892087541E-003  6.400639784468E-004  4.509160047757E-001 -1.158897307558E+000
  1.663152957245E-003  7.510718127945E-004  4.506307010990E-001 -1.158187711282E+000
  1.929205402573E-003  8.709222312777E-004  4.503226643519E-001 -1.157421591932E+000
  2.215070403073E-003  9.996064396026E-004  4.499919156166E-001 -1.156599005960E+000
  2.520770509919E-003  1.137114986413E-003  4.496384775485E-001 -1.155720013998E+000
  2.846329849692E-003  1.283437762089E-003  4.492623743783E-001 -1.154784680859E+000
  3.191774128432E-003  1.438563997459E-003  4.488636319147E-001 -1.153793075539E+000
  3.557130635959E-003  1.602482262436E-003  4.484422775473E-001 -1.152745271212E+000
  3.942428250463E-003  1.775180464570E-003  4.479983402494E-001 -1.151641345237E+000
  4.347697443358E-003  1.956645847519E-003  4.475318505810E-001 -1.150481379149E+000
  4.772970284417E-003  2.146864989442E-003  4.470428406925E-001 -1.149265458668E+000
  5.218280447175E-003  2.345823801310E-003  4.465313443275E-001 -1.147993673693E+000
  5.683663214611E-003  2.553507525137E-003  4.459973968269E-001 -1.146666118304E+000
  6.169155485101E-003  2.769900732134E-003  4.454410351327E-001 -1.145282890762E+000
  6.674795778653E-003  2.994987320784E-003  4.448622977913E-001 -1.143844093510E+000
  7.200624243425E-003  3.228750514835E-003  4.442612249585E-001 -1.142349833169E+000
  7.746682662519E-003  3.471172861217E-003  4.436378584030E-001 -1.140800220546E+000
  8.313014461060E-003  3.722236227886E-003  4.429922415113E-001 -1.139195370625E+000
  8.899664713569E-003  3.981921801584E-003  4.423244192920E-001 -1.137535402574E+000
  9.506680151615E-003  4.250210085527E-003  4.416344383810E-001 -1.135820439741E+000
  1.013410917176E-002  4.527080897017E-003  4.409223470458E-001 -1.134050609658E+000
  1.078200184380E-002  4.812513364978E-003  4.401881951911E-001 -1.132226044037E+000
  1.145040991929E-002  5.106485927416E-003  4.394320343641E-001 -1.130346878774E+000
  1.213938684040E-002  5.408976328808E-003  4.386539177593E-001 -1.128413253948E+000
  1.284898774901E-002  5.719961617417E-003  4.378539002248E-001 -1.126425313822E+000
  1.357926949620E-002  6.039418142535E-003  4.370320382678E-001 -1.124383206841E+000
  1.433029065191E-002  6.367321551651E-003  4.361883900603E-001 -1.122287085637E+000
  1.510211151509E-002  6.703646787554E-003  4.353230154455E-001 -1.120137107026E+000
  1.589479412397E-002  7.048368085361E-003  4.344359759438E-001 -1.117933432011E+000
  1.670840226680E-002  7.401458969477E-003  4.335273347595E-001 -1.115676225780E+000
  1.754300149280E-002  7.762892250490E-003  4.325971567871E-001 -1.113365657711E+000
  1.839865912351E-002  8.132640021993E-003  4.316455086179E-001 -1.111001901370E+000
  1.927544426443E-002  8.510673657346E-003  4.306724585473E-001 -1.108585134512E+000
  2.017342781695E-002  8.896963806368E-003  4.296780765817E-001 -1.106115539085E+000
  2.109268249069E-002  9.291480391965E-003  4.286624344454E-001 -1.103593301228E+000
  2.203328281612E-002  9.694192606699E-003  4.276256055884E-001 -1.101018611275E+000
  2.299530515754E-002  1.010506890929E-002  4.265676651937E-001 -1.098391663754E+000
  2.397882772639E-002  1.052407702106E-002  4.254886901849E-001 -1.095712657392E+000
  2.498393059493E-002  1.095118392232E-002  4.243887592342E-001 -1.092981795113E+000
  2.601069571024E-002  1.138635584869E-002  4.232679527702E-001 -1.090199284044E+000
  2.705920690860E-002  1.182955828737E-002  4.221263529865E-001 -1.087365335513E+000
  2.812954993023E-002  1.228075597335E-002  4.209640438492E-001 -1.084480165055E+000
  2.922181243436E-002  1.273991288558E-002  4.197811111060E-001 -1.081543992413E+000
  3.033608401473E-002  1.320699224306E-002  4.185776422947E-001 -1.078557041538E+000
  3.147245621542E-002  1.368195650092E-002  4.173537267516E-001 -1.075519540597E+000
  3.263102254705E-002  1.416476734641E-002  4.161094556207E-001 -1.072431721971E+000
  3.381187850339E-002  1.465538569483E-002  4.148449218626E-001 -1.069293822262E+000
  3.501512157837E-002  1.515377168550E-002  4.135602202637E-001 -1.066106082293E+000
  3.624085128345E-002  1.565988467759E-002  4.122554474456E-001 -1.062868747115E+000
  3.748916916538E-002  1.617368324597E-002  4.109307018745E-001 -1.059582066008E+000
  3.876017882444E-002  1.669512517695E-002  4.095860838705E-001 -1.056246292486E+000
  4.005398593302E-002  1.722416746409E-002  4.082216956179E-001 -1.052861684302E+000
  4.137069825459E-002  1.776076630386E-002  4.068376411746E-001 -1.049428503452E+000
