# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526563E-006 -6.103572419713E+005  1.467688082607E+001 -3.009977668491E+003 -3.009921027832E+003
  3.932200719722E-005 -1.525863105082E+005  1.467688043418E+001 -7.563278734629E+002 -7.563137787919E+002
  8.847741541467E-005 -6.781391580981E+004  1.467687873657E+001 -3.389844245475E+002 -3.389782087492E+002
  1.573003992805E-004 -3.814357768603E+004  1.467687416827E+001 -1.929131612858E+002 -1.929097030763E+002
  2.457963722418E-004 -2.441044977710E+004  1.467686454099E+001 -1.253018753264E+002 -1.252996934685E+002
  3.539722959954E-004 -1.695047908517E+004  1.467684704677E+001 -8.857352849441E+001 -8.857203994387E+001
  4.818366816529E-004 -1.245235206962E+004  1.467681826152E+001 -6.642621431753E+001 -6.642514378936E+001
  6.293995911626E-004 -9.532894657458E+003  1.467677414998E+001 -5.205043766849E+001 -5.204963843218E+001
  7.966726389935E-004 -7.531324293476E+003  1.467671007131E+001 -4.219310462236E+001 -4.219249136162E+001
  9.836689940782E-004 -6.099612812969E+003  1.467662078559E+001 -3.514084049357E+001 -3.514036023843E+001
  1.190403382016E-003 -5.040308260748E+003  1.467650046113E+001 -2.992157145387E+001 -2.992118958587E+001
  1.416892087541E-003 -4.234620302251E+003  1.467634268269E+001 -2.595048227223E+001 -2.595017521349E+001
  1.663152957245E-003 -3.607605646770E+003  1.467614046036E+001 -2.285862089103E+001 -2.285837202903E+001
  1.929205402573E-003 -3.110088740161E+003  1.467588623942E+001 -2.040389230191E+001 -2.040368959456E+001
  2.215070403073E-003 -2.708717516010E+003  1.467557191085E+001 -1.842210207676E+001 -1.842193658178E+001
  2.520770509919E-003 -2.380224608464E+003  1.467518882276E+001 -1.679870378061E+001 -1.679856871823E+001
  2.846329849692E-003 -2.107977752701E+003  1.467472779241E+001 -1.545181626963E+001 -1.545170640590E+001
  3.191774128432E-003 -1.879832268378E+003  1.467417911913E+001 -1.432165126574E+001 -1.432156249545E+001
  3.557130635959E-003 -1.686752783085E+003  1.467353259787E+001 -1.336372797181E+001 -1.336365702951E+001
  3.942428250463E-003 -1.521904678746E+003  1.467277753352E+001 -1.254440017687E+001 -1.254434443234E+001
  4.347697443358E-003 -1.380040832686E+003  1.467190275589E+001 -1.183783712472E+001 -1.183779443540E+001
  4.772970284417E-003 -1.257078850792E+003  1.467089663536E+001 -1.122394219287E+001 -1.122391079563E+001
