# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526563E-006  1.481726469194E-004  1.507246680232E+001 -1.168909596365E+002
  3.932200719722E-005  5.926344657399E-004  1.506901981695E+001 -1.168687448759E+002
  8.847741541467E-005  1.333217108892E-003  1.506327599597E+001 -1.168317254103E+002
  1.573003992805E-004  2.369640057882E-003  1.505523707120E+001 -1.167799089462E+002
  2.457963722418E-004  3.701510714501E-003  1.504490546678E+001 -1.167133062793E+002
  3.539722959954E-004  5.328324528552E-003  1.503228429885E+001 -1.166319313009E+002
  4.818366816529E-004  7.249465162155E-003  1.501737737507E+001 -1.165358010065E+002
  6.293995911626E-004  9.464204690650E-003  1.500018919401E+001 -1.164249355059E+002
  7.966726389935E-004  1.197170384020E-002  1.498072494449E+001 -1.162993580352E+002
  9.836689940782E-004  1.477101226212E-002  1.495899050478E+001 -1.161590949705E+002
  1.190403382016E-003  1.786106884409E-002  1.493499244163E+001 -1.160041758432E+002
  1.416892087541E-003  2.124070205826E-002  1.490873800929E+001 -1.158346333574E+002
  1.663152957245E-003  2.490863034642E-002  1.488023514830E+001 -1.156505034081E+002
  1.929205402573E-003  2.886346254226E-002  1.484949248424E+001 -1.154518251014E+002
  2.215070403073E-003  3.310369833103E-002  1.481651932631E+001 -1.152386407765E+002
  2.520770509919E-003  3.762772874644E-002  1.478132566576E+001 -1.150109960281E+002
  2.846329849692E-003  4.243383670520E-002  1.474392217422E+001 -1.147689397310E+002
  3.191774128432E-003  4.752019757921E-002  1.470432020188E+001 -1.145125240656E+002
  3.557130635959E-003  5.288487980556E-002  1.466253177550E+001 -1.142418045444E+002
  3.942428250463E-003  5.852584553451E-002  1.461856959631E+001 -1.139568400397E+002
  4.347697443358E-003  6.444095131562E-002  1.457244703767E+001 -1.136576928120E+002
  4.772970284417E-003  7.062794882211E-002  1.452417814267E+001 -1.133444285396E+002
  5.218280447175E-003  7.708448561375E-002  1.447377762150E+001 -1.130171163487E+002
  5.683663214611E-003  8.380810593825E-002  1.442126084865E+001 -1.126758288438E+002
  6.169155485101E-003  9.079625157151E-002  1.436664385991E+001 -1.123206421394E+002
  6.674795778653E-003  9.804626269672E-002  1.430994334925E+001 -1.119516358913E+002
  7.200624243425E-003  1.055553788226E-001  1.425117666542E+001 -1.115688933282E+002
  7.746682662519E-003  1.133207397407E-001  1.419036180838E+001 -1.111725012841E+002
  8.313014461060E-003  1.213393865224E-001  1.412751742558E+001 -1.107625502298E+002
  8.899664713569E-003  1.296082625550E-001  1.406266280789E+001 -1.103391343048E+002
  9.506680151615E-003  1.381242146178E-001  1.399581788545E+001 -1.099023513490E+002
  1.013410917176E-002  1.468839939976E-001  1.392700322319E+001 -1.094523029333E+002
  1.078200184380E-002  1.558842576445E-001  1.385624001617E+001 -1.089890943904E+002
  1.145040991929E-002  1.651215693671E-001  1.378355008464E+001 -1.085128348444E+002
  1.213938684040E-002  1.745924010684E-001  1.370895586883E+001 -1.080236372398E+002
  1.284898774901E-002  1.842931340211E-001  1.363248042356E+001 -1.075216183690E+002
  1.357926949620E-002  1.942200601837E-001  1.355414741250E+001 -1.070068988996E+002
  1.433029065191E-002  2.043693835563E-001  1.347398110219E+001 -1.064796033994E+002
  1.510211151509E-002  2.147372215772E-001  1.339200635578E+001 -1.059398603605E+002
  1.589479412397E-002  2.253196065588E-001  1.330824862649E+001 -1.053878022212E+002
  1.670840226680E-002  2.361124871647E-001  1.322273395072E+001 -1.048235653873E+002
  1.754300149280E-002  2.471117299261E-001  1.313548894094E+001 -1.042472902500E+002
  1.839865912351E-002  2.583131207989E-001  1.304654077821E+001 -1.036591212028E+002
  1.927544426443E-002  2.697123667600E-001  1.295591720441E+001 -1.030592066558E+002
  2.017342781695E-002  2.813050974442E-001  1.286364651414E+001 -1.024476990473E+002
  2.109268249069E-002  2.930868668203E-001  1.276975754631E+001 -1.018247548538E+002
  2.203328281612E-002  3.050531549063E-001  1.267427967534E+001 -1.011905345962E+002
  2.299530515754E-002  3.171993695249E-001  1.257724280213E+001 -1.005452028440E+002
  2.397882772639E-002  3.295208480966E-001  1.247867734454E+001 -9.988892821605E+001
  2.498393059493E-002  3.420128594725E-001  1.237861422769E+001 -9.922188337840E+001
  2.601069571024E-002  3.546706058048E-001  1.227708487373E+001 -9.854424503903E+001
  2.705920690860E-002  3.674892244556E-001  1.217412119141E+001 -9.785619393889E+001
  2.812954993023E-002  3.804637899431E-001  1.206975556518E+001 -9.715791483961E+001
  2.922181243436E-002  3.935893159244E-001  1.196402084398E+001 -9.644959650751E+001
  3.033608401473E-002  4.068607572161E-001  1.185695032964E+001 -9.573143169389E+001
  3.147245621542E-002  4.202730118493E-001  1.174857776493E+001 -9.500361711132E+001
  3.263102254705E-002  4.338209231613E-001  1.163893732123E+001 -9.426635340603E+001
  3.381187850339E-002  4.474992819216E-001  1.152806358581E+001 -9.351984512613E+001
  3.501512157837E-002  4.613028284919E-001  1.141599154876E+001 -9.276430068556E+001
  3.624085128345E-002  4.752262550198E-001  1.130275658955E+001 -9.199993232384E+001
  3.748916916538E-002  4.892642076648E-001  1.118839446318E+001 -9.122695606121E+001
  3.876017882444E-002  5.034112888563E-001  1.107294128600E+001 -9.044559164944E+001
  4.005398593302E-002  5.176620595826E-001  1.095643352112E+001 -8.965606251796E+001
  4.137069825459E-002  5.320110417095E-001  1.083890796351E+001 -8.885859571529E+001
