# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526563E-006 -8.138096559617E+005  2.226539155517E+001 -3.147522433531E+003 -3.147580716645E+003
  3.932200719722E-005 -2.034484140109E+005  2.226539059559E+001 -7.920279176746E+002 -7.920423952526E+002
  8.847741541467E-005 -9.041855441308E+004  2.226538643905E+001 -3.558236247905E+002 -3.558299902591E+002
  1.573003992805E-004 -5.085810358138E+004  2.226537525501E+001 -2.031502272438E+002 -2.031537535059E+002
  2.457963722418E-004 -3.254726636946E+004  2.226535169145E+001 -1.324821764399E+002 -1.324843885900E+002
  3.539722959954E-004 -2.260063878023E+004  2.226530888556E+001 -9.409238960939E+001 -9.409388795784E+001
  4.818366816529E-004 -1.660313609283E+004  2.226523847729E+001 -7.094226444772E+001 -7.094333243493E+001
  6.293995911626E-004 -1.271052620994E+004  2.226513062615E+001 -5.591457989597E+001 -5.591536860198E+001
  7.966726389935E-004 -1.004176572464E+004  2.226497403078E+001 -4.560923286848E+001 -4.560983014096E+001
  9.836689940782E-004 -8.132817083959E+003  2.226475595145E+001 -3.823542079029E+001 -3.823588117297E+001
  1.190403382016E-003 -6.720411014331E+003  2.226446223548E+001 -3.277714203817E+001 -3.277750118000E+001
  1.416892087541E-003 -5.646160403001E+003  2.226407734541E+001 -2.862315422231E+001 -2.862343640479E+001
  1.663152957245E-003 -4.810140862360E+003  2.226358439000E+001 -2.538783326319E+001 -2.538805559627E+001
  1.929205402573E-003 -4.146784986881E+003  2.226296515783E+001 -2.281814500777E+001 -2.281831989565E+001
  2.215070403073E-003 -3.611623354680E+003  2.226220015360E+001 -2.074247637727E+001 -2.074261303257E+001
  2.520770509919E-003 -3.173632811285E+003  2.226126863692E+001 -1.904110602192E+001 -1.904121143075E+001
  2.846329849692E-003 -2.810637003602E+003  2.226014866365E+001 -1.762845415624E+001 -1.762853371311E+001
