# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526563E-006  4.455376223325E-006  4.532227953664E-001 -1.165481695547E+000
  3.932200719722E-005  1.782117950252E-005  4.531884245947E-001 -1.165396027578E+000
  8.847741541467E-005  4.009643362389E-005  4.531311425863E-001 -1.165253254691E+000
  1.573003992805E-004  7.127951142591E-005  4.530509532583E-001 -1.165053387480E+000
  2.457963722418E-004  1.113681345914E-004  4.529478620951E-001 -1.164796440775E+000
  3.539722959954E-004  1.603593733565E-004  4.528218761489E-001 -1.164482433642E+000
  4.818366816529E-004  2.182496461367E-004  4.526730040409E-001 -1.164111389385E+000
  6.293995911626E-004  2.850347190696E-004  4.525012559617E-001 -1.163683335546E+000
  7.966726389935E-004  3.607097054754E-004  4.523066436728E-001 -1.163198303902E+000
  9.836689940782E-004  4.452690652338E-004  4.520891805073E-001 -1.162656330466E+000
  1.190403382016E-003  5.387066040792E-004  4.518488813720E-001 -1.162057455490E+000
  1.416892087541E-003  6.410154728126E-004  4.515857627484E-001 -1.161401723460E+000
  1.663152957245E-003  7.521881664315E-004  4.512998426946E-001 -1.160689183099E+000
  1.929205402573E-003  8.722165231780E-004  4.509911408474E-001 -1.159919887365E+000
  2.215070403073E-003  1.001091723504E-003  4.506596784242E-001 -1.159093893452E+000
  2.520770509919E-003  1.138804288957E-003  4.503054782250E-001 -1.158211262791E+000
  2.846329849692E-003  1.285344080978E-003  4.499285646354E-001 -1.157272061046E+000
  3.191774128432E-003  1.440700299631E-003  4.495289636285E-001 -1.156276358117E+000
  3.557130635959E-003  1.604861482234E-003  4.491067027681E-001 -1.155224228138E+000
  3.942428250463E-003  1.777815501928E-003  4.486618112114E-001 -1.154115749478E+000
  4.347697443358E-003  1.959549566147E-003  4.481943197119E-001 -1.152951004740E+000
  4.772970284417E-003  2.150050215026E-003  4.477042606229E-001 -1.151730080761E+000
  5.218280447175E-003  2.349303319714E-003  4.471916679010E-001 -1.150453068612E+000
  5.683663214611E-003  2.557294080621E-003  4.466565771090E-001 -1.149120063597E+000
  6.169155485101E-003  2.774007025573E-003  4.460990254205E-001 -1.147731165252E+000
  6.674795778653E-003  2.999426007899E-003  4.455190516228E-001 -1.146286477350E+000
  7.200624243425E-003  3.233534204435E-003  4.449166961220E-001 -1.144786107891E+000
  7.746682662519E-003  3.476314113455E-003  4.442920009462E-001 -1.143230169114E+000
  8.313014461060E-003  3.727747552516E-003  4.436450097507E-001 -1.141618777484E+000
  8.899664713569E-003  3.987815656237E-003  4.429757678218E-001 -1.139952053704E+000
  9.506680151615E-003  4.256498873992E-003  4.422843220823E-001 -1.138230122705E+000
  1.013410917176E-002  4.533776967541E-003  4.415707210954E-001 -1.136453113652E+000
  1.078200184380E-002  4.819629008572E-003  4.408350150708E-001 -1.134621159942E+000
  1.145040991929E-002  5.114033376174E-003  4.400772558688E-001 -1.132734399204E+000
  1.213938684040E-002  5.416967754244E-003  4.392974970066E-001 -1.130792973298E+000
  1.284898774901E-002  5.728409128811E-003  4.384957936630E-001 -1.128797028317E+000
  1.357926949620E-002  6.048333785289E-003  4.376722026847E-001 -1.126746714586E+000
  1.433029065191E-002  6.376717305669E-003  4.368267825918E-001 -1.124642186662E+000
  1.510211151509E-002  6.713534565626E-003  4.359595935838E-001 -1.122483603335E+000
  1.589479412397E-002  7.058759731570E-003  4.350706975459E-001 -1.120271127628E+000
  1.670840226680E-002  7.412366257615E-003  4.341601580551E-001 -1.118004926797E+000
  1.754300149280E-002  7.774326882492E-003  4.332280403869E-001 -1.115685172331E+000
  1.839865912351E-002  8.144613626391E-003  4.322744115217E-001 -1.113312039956E+000
  1.927544426443E-002  8.523197787730E-003  4.312993401517E-001 -1.110885709629E+000
  2.017342781695E-002  8.910049939871E-003  4.303028966880E-001 -1.108406365545E+000
  2.109268249069E-002  9.305139927764E-003  4.292851532674E-001 -1.105874196134E+000
  2.203328281612E-002  9.708436864531E-003  4.282461837596E-001 -1.103289394064E+000
  2.299530515754E-002  1.011990912799E-002  4.271860637750E-001 -1.100652156241E+000
  2.397882772639E-002  1.053952435710E-002  4.261048706721E-001 -1.097962683811E+000
  2.498393059493E-002  1.096724944841E-002  4.250026835650E-001 -1.095221182159E+000
  2.601069571024E-002  1.140305055233E-002  4.238795833313E-001 -1.092427860914E+000
  2.705920690860E-002  1.184689306949E-002  4.227356526206E-001 -1.089582933945E+000
  2.812954993023E-002  1.229874164694E-002  4.215709758620E-001 -1.086686619370E+000
  2.922181243436E-002  1.275856017431E-002  4.203856392727E-001 -1.083739139551E+000
  3.033608401473E-002  1.322631177998E-002  4.191797308666E-001 -1.080740721100E+000
  3.147245621542E-002  1.370195882712E-002  4.179533404627E-001 -1.077691594881E+000
  3.263102254705E-002  1.418546290975E-002  4.167065596940E-001 -1.074591996008E+000
  3.381187850339E-002  1.467678484869E-002  4.154394820160E-001 -1.071442163854E+000
  3.501512157837E-002  1.517588468749E-002  4.141522027164E-001 -1.068242342048E+000
  3.624085128345E-002  1.568272168836E-002  4.128448189238E-001 -1.064992778482E+000
  3.748916916538E-002  1.619725432797E-002  4.115174296170E-001 -1.061693725311E+000
  3.876017882444E-002  1.671944029330E-002  4.101701356346E-001 -1.058345438957E+000
  4.005398593302E-002  1.724923647738E-002  4.088030396845E-001 -1.054948180115E+000
  4.137069825459E-002  1.778659897503E-002  4.074162463537E-001 -1.051502213752E+000
