# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   2 , l=   0 , Occupation=   2.0000
  9.830308526563E-006  1.015961070039E+001 -8.254879754594E+001  5.818698576305E+002
  3.932200719722E-005  1.015717644915E+001 -8.253163910470E+001  5.817417405597E+002
  8.847741541467E-005  1.015312027547E+001 -8.250304859895E+001  5.815282692840E+002
  1.573003992805E-004  1.014744354649E+001 -8.246303636930E+001  5.812295295313E+002
  2.457963722418E-004  1.014014817531E+001 -8.241161688489E+001  5.808456412504E+002
  3.539722959954E-004  1.013123662015E+001 -8.234880873573E+001  5.803767585405E+002
  4.818366816529E-004  1.012071188318E+001 -8.227463462274E+001  5.798230695605E+002
  6.293995911626E-004  1.010857750917E+001 -8.218912134574E+001  5.791847964188E+002
  7.966726389935E-004  1.009483758384E+001 -8.209229978917E+001  5.784621950426E+002
  9.836689940782E-004  1.007949673203E+001 -8.198420490565E+001  5.776555550282E+002
  1.190403382016E-003  1.006256011550E+001 -8.186487569741E+001  5.767651994705E+002
  1.416892087541E-003  1.004403343065E+001 -8.173435519555E+001  5.757914847739E+002
  1.663152957245E-003  1.002392290584E+001 -8.159269043719E+001  5.747348004429E+002
  1.929205402573E-003  1.000223529856E+001 -8.143993244046E+001  5.735955688540E+002
  2.215070403073E-003  9.978977892363E+000 -8.127613617741E+001  5.723742450075E+002
  2.520770509919E-003  9.954158493462E+000 -8.110136054480E+001  5.710713162615E+002
  2.846329849692E-003  9.927785427209E+000 -8.091566833289E+001  5.696873020455E+002
  3.191774128432E-003  9.899867534266E+000 -8.071912619208E+001  5.682227535568E+002
  3.557130635959E-003  9.870414166557E+000 -8.051180459757E+001  5.666782534371E+002
  3.942428250463E-003  9.839435182996E+000 -8.029377781203E+001  5.650544154318E+002
  4.347697443358E-003  9.806940944974E+000 -8.006512384623E+001  5.633518840304E+002
  4.772970284417E-003  9.772942311632E+000 -7.982592441772E+001  5.615713340898E+002
  5.218280447175E-003  9.737450634897E+000 -7.957626490763E+001  5.597134704393E+002
  5.683663214611E-003  9.700477754304E+000 -7.931623431543E+001  5.577790274689E+002
  6.169155485101E-003  9.662035991595E+000 -7.904592521196E+001  5.557687686999E+002
  6.674795778653E-003  9.622138145103E+000 -7.876543369048E+001  5.536834863395E+002
  7.200624243425E-003  9.580797483924E+000 -7.847485931596E+001  5.515240008178E+002
  7.746682662519E-003  9.538027741878E+000 -7.817430507254E+001  5.492911603096E+002
  8.313014461060E-003  9.493843111259E+000 -7.786387730929E+001  5.469858402398E+002
  8.899664713569E-003  9.448258236392E+000 -7.754368568413E+001  5.446089427736E+002
  9.506680151615E-003  9.401288206980E+000 -7.721384310620E+001  5.421613962908E+002
  1.013410917176E-002  9.352948551263E+000 -7.687446567642E+001  5.396441548457E+002
  1.078200184380E-002  9.303255228972E+000 -7.652567262656E+001  5.370581976130E+002
  1.145040991929E-002  9.252224624115E+000 -7.616758625666E+001  5.344045283182E+002
  1.213938684040E-002  9.199873537556E+000 -7.580033187092E+001  5.316841746553E+002
  1.284898774901E-002  9.146219179428E+000 -7.542403771205E+001  5.288981876910E+002
  1.357926949620E-002  9.091279161367E+000 -7.503883489426E+001  5.260476412552E+002
  1.433029065191E-002  9.035071488569E+000 -7.464485733469E+001  5.231336313198E+002
  1.510211151509E-002  8.977614551682E+000 -7.424224168359E+001  5.201572753646E+002
  1.589479412397E-002  8.918927118538E+000 -7.383112725306E+001  5.171197117321E+002
  1.670840226680E-002  8.859028325721E+000 -7.341165594461E+001  5.140220989703E+002
  1.754300149280E-002  8.797937669984E+000 -7.298397217535E+001  5.108656151650E+002
  1.839865912351E-002  8.735674999513E+000 -7.254822280311E+001  5.076514572621E+002
  1.927544426443E-002  8.672260505054E+000 -7.210455705031E+001  5.043808403787E+002
  2.017342781695E-002  8.607714710888E+000 -7.165312642679E+001  5.010549971061E+002
  2.109268249069E-002  8.542058465684E+000 -7.119408465155E+001  4.976751768029E+002
  2.203328281612E-002  8.475312933215E+000 -7.072758757355E+001  4.942426448797E+002
  2.299530515754E-002  8.407499582950E+000 -7.025379309146E+001  4.907586820760E+002
  2.397882772639E-002  8.338640180526E+000 -6.977286107257E+001  4.872245837294E+002
  2.498393059493E-002  8.268756778113E+000 -6.928495327090E+001  4.836416590375E+002
  2.601069571024E-002  8.197871704658E+000 -6.879023324439E+001  4.800112303137E+002
  2.705920690860E-002  8.126007556036E+000 -6.828886627145E+001  4.763346322366E+002
  2.812954993023E-002  8.053187185099E+000 -6.778101926678E+001  4.726132110939E+002
  2.922181243436E-002  7.979433691629E+000 -6.726686069657E+001  4.688483240218E+002
  3.033608401473E-002  7.904770412215E+000 -6.674656049309E+001  4.650413382389E+002
  3.147245621542E-002  7.829220910034E+000 -6.622028996878E+001  4.611936302776E+002
  3.263102254705E-002  7.752808964570E+000 -6.568822172990E+001  4.573065852107E+002
  3.381187850339E-002  7.675558561251E+000 -6.515052958968E+001  4.533815958758E+002
  3.501512157837E-002  7.597493881036E+000 -6.460738848119E+001  4.494200620980E+002
  3.624085128345E-002  7.518639289928E+000 -6.405897436988E+001  4.454233899093E+002
  3.748916916538E-002  7.439019328446E+000 -6.350546416590E+001  4.413929907683E+002
  3.876017882444E-002  7.358658701045E+000 -6.294703563617E+001  4.373302807784E+002
  4.005398593302E-002  7.277582265497E+000 -6.238386731642E+001  4.332366799063E+002
  4.137069825459E-002  7.195815022239E+000 -6.181613842306E+001  4.291136112004E+002
