# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   2 , l=   0 , Occupation=   1.0000
  9.830308526563E-006  1.657199712314E+000 -5.274935844132E+000  1.705491251368E+001
  3.932200719722E-005  1.657044152912E+000 -5.274432893354E+000  1.705304334412E+001
  8.847741541467E-005  1.656784906611E+000 -5.273594720608E+000  1.704992838747E+001
  1.573003992805E-004  1.656422002463E+000 -5.272421443712E+000  1.704556813262E+001
  2.457963722418E-004  1.655955481137E+000 -5.270913227594E+000  1.703996326395E+001
  3.539722959954E-004  1.655385394917E+000 -5.269070284281E+000  1.703311466128E+001
  4.818366816529E-004  1.654711807700E+000 -5.266892872875E+000  1.702502339978E+001
  6.293995911626E-004  1.653934794988E+000 -5.264381299531E+000  1.701569074985E+001
  7.966726389935E-004  1.653054443885E+000 -5.261535917430E+000  1.700511817705E+001
  9.836689940782E-004  1.652070853092E+000 -5.258357126743E+000  1.699330734194E+001
  1.190403382016E-003  1.650984132897E+000 -5.254845374593E+000  1.698026009991E+001
  1.416892087541E-003  1.649794405167E+000 -5.251001155017E+000  1.696597850102E+001
  1.663152957245E-003  1.648501803345E+000 -5.246825008919E+000  1.695046478984E+001
  1.929205402573E-003  1.647106472434E+000 -5.242317524016E+000  1.693372140520E+001
  2.215070403073E-003  1.645608568989E+000 -5.237479334785E+000  1.691575097997E+001
  2.520770509919E-003  1.644008261108E+000 -5.232311122402E+000  1.689655634083E+001
  2.846329849692E-003  1.642305728416E+000 -5.226813614677E+000  1.687614050801E+001
  3.191774128432E-003  1.640501162056E+000 -5.220987585989E+000  1.685450669497E+001
  3.557130635959E-003  1.638594764672E+000 -5.214833857205E+000  1.683165830813E+001
  3.942428250463E-003  1.636586750397E+000 -5.208353295607E+000  1.680759894653E+001
  4.347697443358E-003  1.634477344835E+000 -5.201546814805E+000  1.678233240148E+001
  4.772970284417E-003  1.632266785046E+000 -5.194415374650E+000  1.675586265622E+001
  5.218280447175E-003  1.629955319529E+000 -5.186959981141E+000  1.672819388552E+001
  5.683663214611E-003  1.627543208201E+000 -5.179181686328E+000  1.669933045529E+001
  6.169155485101E-003  1.625030722383E+000 -5.171081588206E+000  1.666927692211E+001
  6.674795778653E-003  1.622418144773E+000 -5.162660830607E+000  1.663803803286E+001
  7.200624243425E-003  1.619705769432E+000 -5.153920603092E+000  1.660561872417E+001
  7.746682662519E-003  1.616893901755E+000 -5.144862140823E+000  1.657202412202E+001
  8.313014461060E-003  1.613982858453E+000 -5.135486724450E+000  1.653725954112E+001
  8.899664713569E-003  1.610972967526E+000 -5.125795679973E+000  1.650133048450E+001
  9.506680151615E-003  1.607864568241E+000 -5.115790378613E+000  1.646424264285E+001
  1.013410917176E-002  1.604658011102E+000 -5.105472236670E+000  1.642600189401E+001
  1.078200184380E-002  1.601353657825E+000 -5.094842715378E+000  1.638661430233E+001
  1.145040991929E-002  1.597951881309E+000 -5.083903320753E+000  1.634608611806E+001
  1.213938684040E-002  1.594453065609E+000 -5.072655603441E+000  1.630442377671E+001
  1.284898774901E-002  1.590857605902E+000 -5.061101158549E+000  1.626163389837E+001
  1.357926949620E-002  1.587165908457E+000 -5.049241625481E+000  1.621772328700E+001
  1.433029065191E-002  1.583378390604E+000 -5.037078687763E+000  1.617269892973E+001
  1.510211151509E-002  1.579495480698E+000 -5.024614072862E+000  1.612656799609E+001
  1.589479412397E-002  1.575517618086E+000 -5.011849552002E+000  1.607933783726E+001
  1.670840226680E-002  1.571445253069E+000 -4.998786939969E+000  1.603101598525E+001
  1.754300149280E-002  1.567278846867E+000 -4.985428094913E+000  1.598161015210E+001
  1.839865912351E-002  1.563018871578E+000 -4.971774918145E+000  1.593112822899E+001
  1.927544426443E-002  1.558665810139E+000 -4.957829353923E+000  1.587957828538E+001
  2.017342781695E-002  1.554220156290E+000 -4.943593389235E+000  1.582696856812E+001
  2.109268249069E-002  1.549682414522E+000 -4.929069053574E+000  1.577330750048E+001
  2.203328281612E-002  1.545053100043E+000 -4.914258418709E+000  1.571860368120E+001
  2.299530515754E-002  1.540332738729E+000 -4.899163598440E+000  1.566286588350E+001
  2.397882772639E-002  1.535521867077E+000 -4.883786748361E+000  1.560610305403E+001
  2.498393059493E-002  1.530621032159E+000 -4.868130065603E+000  1.554832431186E+001
  2.601069571024E-002  1.525630791575E+000 -4.852195788573E+000  1.548953894734E+001
  2.705920690860E-002  1.520551713401E+000 -4.835986196692E+000  1.542975642102E+001
  2.812954993023E-002  1.515384376135E+000 -4.819503610117E+000  1.536898636251E+001
  2.922181243436E-002  1.510129368649E+000 -4.802750389461E+000  1.530723856925E+001
  3.033608401473E-002  1.504787290133E+000 -4.785728935502E+000  1.524452300533E+001
  3.147245621542E-002  1.499358750036E+000 -4.768441688889E+000  1.518084980025E+001
  3.263102254705E-002  1.493844368012E+000 -4.750891129834E+000  1.511622924761E+001
  3.381187850339E-002  1.488244773862E+000 -4.733079777799E+000  1.505067180382E+001
  3.501512157837E-002  1.482560607470E+000 -4.715010191179E+000  1.498418808673E+001
  3.624085128345E-002  1.476792518743E+000 -4.696684966968E+000  1.491678887425E+001
  3.748916916538E-002  1.470941167549E+000 -4.678106740425E+000  1.484848510292E+001
  3.876017882444E-002  1.465007223649E+000 -4.659278184728E+000  1.477928786646E+001
  4.005398593302E-002  1.458991366634E+000 -4.640202010616E+000  1.470920841428E+001
  4.137069825459E-002  1.452894285851E+000 -4.620880966031E+000  1.463825814991E+001
