# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  1.757407365728E+002 -1.065833634150E+003  6.714975211383E+003  4.424728130953E-006  2.574836187127E-001
  3.932200719722E-005  1.757093062485E+002 -1.065635617154E+003  6.713684801992E+003  4.424753397624E-006  2.574989704155E-001
  8.847741541467E-005  1.756569326048E+002 -1.065305656087E+003  6.711534573933E+003  4.424795462600E-006  2.575245597257E-001
  1.573003992805E-004  1.755836309834E+002 -1.064843851816E+003  6.708525208409E+003  4.424854257152E-006  2.575603913527E-001
  2.457963722418E-004  1.754894228547E+002 -1.064250345499E+003  6.704657658731E+003  4.424929684611E-006  2.576064718922E-001
  3.539722959954E-004  1.753743358103E+002 -1.063525318533E+003  6.699933149941E+003  4.425021620763E-006  2.576628098288E-001
  4.818366816529E-004  1.752384035532E+002 -1.062668992488E+003  6.694353178331E+003  4.425129913600E-006  2.577294155391E-001
  6.293995911626E-004  1.750816658856E+002 -1.061681629019E+003  6.687919510858E+003  4.425254382974E-006  2.578063012955E-001
  7.966726389935E-004  1.749041686946E+002 -1.060563529772E+003  6.680634184446E+003  4.425394821152E-006  2.578934812713E-001
  9.836689940782E-004  1.747059639358E+002 -1.059315036267E+003  6.672499505191E+003  4.425550991495E-006  2.579909715457E-001
  1.190403382016E-003  1.744871096145E+002 -1.057936529768E+003  6.663518047445E+003  4.425722629818E-006  2.580987901101E-001
  1.416892087541E-003  1.742476697650E+002 -1.056428431143E+003  6.653692652814E+003  4.425909442492E-006  2.582169568750E-001
  1.663152957245E-003  1.739877144275E+002 -1.054791200702E+003  6.643026429032E+003  4.426111107800E-006  2.583454936774E-001
  1.929205402573E-003  1.737073196232E+002 -1.053025338022E+003  6.631522748742E+003  4.426327274359E-006  2.584844242895E-001
  2.215070403073E-003  1.734065673263E+002 -1.051131381761E+003  6.619185248169E+003  4.426557562636E-006  2.586337744273E-001
  2.520770509919E-003  1.730855454353E+002 -1.049109909452E+003  6.606017825683E+003  4.426801562214E-006  2.587935717611E-001
  2.846329849692E-003  1.727443477407E+002 -1.046961537285E+003  6.592024640267E+003  4.427058833471E-006  2.589638459254E-001
  3.191774128432E-003  1.723830738917E+002 -1.044686919872E+003  6.577210109877E+003  4.427328906385E-006  2.591446285310E-001
  3.557130635959E-003  1.720018293599E+002 -1.042286750003E+003  6.561578909697E+003  4.427611280745E-006  2.593359531763E-001
  3.942428250463E-003  1.716007254016E+002 -1.039761758377E+003  6.545135970295E+003  4.427905425105E-006  2.595378554610E-001
  4.347697443358E-003  1.711798790172E+002 -1.037112713332E+003  6.527886475675E+003  4.428210776820E-006  2.597503729996E-001
  4.772970284417E-003  1.707394129096E+002 -1.034340420545E+003  6.509835861230E+003  4.428526740745E-006  2.599735454357E-001
  5.218280447175E-003  1.702794554392E+002 -1.031445722733E+003  6.490989811592E+003  4.428852691337E-006  2.602074144575E-001
  5.683663214611E-003  1.698001405779E+002 -1.028429499330E+003  6.471354258379E+003  4.429187968607E-006  2.604520238139E-001
  6.169155485101E-003  1.693016078604E+002 -1.025292666149E+003  6.450935377853E+003  4.429531879710E-006  2.607074193316E-001
  6.674795778653E-003  1.687840023339E+002 -1.022036175038E+003  6.429739588467E+003  4.429883699474E-006  2.609736489328E-001
  7.200624243425E-003  1.682474745051E+002 -1.018661013516E+003  6.407773548320E+003  4.430242666972E-006  2.612507626540E-001
  7.746682662519E-003  1.676921802862E+002 -1.015168204394E+003  6.385044152518E+003  4.430607987041E-006  2.615388126651E-001
  8.313014461060E-003  1.671182809376E+002 -1.011558805386E+003  6.361558530430E+003  4.430978829533E-006  2.618378532905E-001
  8.899664713569E-003  1.665259430098E+002 -1.007833908706E+003  6.337324042856E+003  4.431354327539E-006  2.621479410298E-001
  9.506680151615E-003  1.659153382827E+002 -1.003994640648E+003  6.312348279099E+003  4.431733577292E-006  2.624691345804E-001
  1.013410917176E-002  1.652866437026E+002 -1.000042161156E+003  6.286639053942E+003  4.432115638938E-006  2.628014948604E-001
  1.078200184380E-002  1.646400413185E+002 -9.959776633789E+002  6.260204404528E+003  4.432499533280E-006  2.631450850325E-001
  1.145040991929E-002  1.639757182150E+002 -9.918023732140E+002  6.233052587160E+003  4.432884242784E-006  2.634999705295E-001
  1.213938684040E-002  1.632938664442E+002 -9.875175488346E+002  6.205192073997E+003  4.433268709841E-006  2.638662190797E-001
  1.284898774901E-002  1.625946829555E+002 -9.831244802076E+002  6.176631549672E+003  4.433651837263E-006  2.642439007343E-001
  1.357926949620E-002  1.618783695233E+002 -9.786244885966E+002  6.147379907811E+003  4.434032485654E-006  2.646330878949E-001
  1.433029065191E-002  1.611451326732E+002 -9.740189260529E+002  6.117446247471E+003  4.434409473625E-006  2.650338553430E-001
  1.510211151509E-002  1.603951836065E+002 -9.693091748942E+002  6.086839869495E+003  4.434781577067E-006  2.654462802695E-001
  1.589479412397E-002  1.596287381218E+002 -9.644966471712E+002  6.055570272770E+003  4.435147527433E-006  2.658704423059E-001
  1.670840226680E-002  1.588460165364E+002 -9.595827841212E+002  6.023647150414E+003  4.435506011153E-006  2.663064235567E-001
  1.754300149280E-002  1.580472436048E+002 -9.545690556110E+002  5.991080385873E+003  4.435855668604E-006  2.667543086323E-001
  1.839865912351E-002  1.572326484359E+002 -9.494569595671E+002  5.957880048942E+003  4.436195092973E-006  2.672141846835E-001
