# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526563E-006  4.452304786599E-006  4.529103543804E-001 -1.164541316675E+000
  3.932200719722E-005  1.780889405932E-005  4.528760113406E-001 -1.164455742659E+000
  8.847741541467E-005  4.006879251557E-005  4.528187755485E-001 -1.164313126345E+000
  1.573003992805E-004  7.123037451233E-005  4.527386509154E-001 -1.164113478303E+000
  2.457963722418E-004  1.112913638583E-004  4.526356429178E-001 -1.163856813331E+000
  3.539722959954E-004  1.602488335226E-004  4.525097585981E-001 -1.163543150453E+000
  4.818366816529E-004  2.180992052611E-004  4.523610065650E-001 -1.163172512923E+000
  6.293995911626E-004  2.848382491589E-004  4.521893969945E-001 -1.162744928221E+000
  7.966726389935E-004  3.604610830907E-004  4.519949416314E-001 -1.162260428055E+000
  9.836689940782E-004  4.449621720977E-004  4.517776537898E-001 -1.161719048360E+000
  1.190403382016E-003  5.383353276824E-004  4.515375483551E-001 -1.161120829297E+000
  1.416892087541E-003  6.405737070208E-004  4.512746417854E-001 -1.160465815257E+000
  1.663152957245E-003  7.516698120917E-004  4.509889521131E-001 -1.159754054855E+000
  1.929205402573E-003  8.716154887249E-004  4.506804989471E-001 -1.158985600934E+000
  2.215070403073E-003  1.000401925566E-003  4.503493034745E-001 -1.158160510563E+000
  2.520770509919E-003  1.138019652962E-003  4.499953884631E-001 -1.157278845037E+000
  2.846329849692E-003  1.284458541760E-003  4.496187782636E-001 -1.156340669877E+000
  3.191774128432E-003  1.439707802033E-003  4.492194988125E-001 -1.155346054831E+000
  3.557130635959E-003  1.603755981718E-003  4.487975776345E-001 -1.154295073870E+000
  3.942428250463E-003  1.776590965173E-003  4.483530438455E-001 -1.153187805192E+000
  4.347697443358E-003  1.958199971661E-003  4.478859281557E-001 -1.152024331221E+000
  4.772970284417E-003  2.148569553744E-003  4.473962628727E-001 -1.150804738603E+000
  5.218280447175E-003  2.347685595607E-003  4.468840819050E-001 -1.149529118210E+000
  5.683663214611E-003  2.555533311294E-003  4.463494207657E-001 -1.148197565140E+000
  6.169155485101E-003  2.772097242873E-003  4.457923165759E-001 -1.146810178713E+000
  6.674795778653E-003  2.997361258517E-003  4.452128080687E-001 -1.145367062473E+000
  7.200624243425E-003  3.231308550508E-003  4.446109355933E-001 -1.143868324189E+000
  7.746682662519E-003  3.473921633165E-003  4.439867411194E-001 -1.142314075853E+000
  8.313014461060E-003  3.725182340696E-003  4.433402682410E-001 -1.140704433680E+000
  8.899664713569E-003  3.985071824968E-003  4.426715621816E-001 -1.139039518109E+000
  9.506680151615E-003  4.253570553209E-003  4.419806697985E-001 -1.137319453802E+000
  1.013410917176E-002  4.530658305627E-003  4.412676395876E-001 -1.135544369645E+000
  1.078200184380E-002  4.816314172960E-003  4.405325216890E-001 -1.133714398745E+000
  1.145040991929E-002  5.110516553948E-003  4.397753678913E-001 -1.131829678434E+000
  1.213938684040E-002  5.413243152734E-003  4.389962316378E-001 -1.129890350266E+000
  1.284898774901E-002  5.724470976190E-003  4.381951680315E-001 -1.127896560020E+000
  1.357926949620E-002  6.044176331175E-003  4.373722338409E-001 -1.125848457697E+000
  1.433029065191E-002  6.372334821717E-003  4.365274875060E-001 -1.123746197522E+000
  1.510211151509E-002  6.708921346126E-003  4.356609891439E-001 -1.121589937944E+000
  1.589479412397E-002  7.053910094039E-003  4.347728005555E-001 -1.119379841637E+000
  1.670840226680E-002  7.407274543395E-003  4.338629852312E-001 -1.117116075498E+000
  1.754300149280E-002  7.768987457342E-003  4.329316083582E-001 -1.114798810650E+000
  1.839865912351E-002  8.139020881077E-003  4.319787368260E-001 -1.112428222442E+000
  1.927544426443E-002  8.517346138622E-003  4.310044392344E-001 -1.110004490449E+000
  2.017342781695E-002  8.903933829529E-003  4.300087858996E-001 -1.107527798474E+000
  2.109268249069E-002  9.298753825531E-003  4.289918488616E-001 -1.104998334546E+000
  2.203328281612E-002  9.701775267122E-003  4.279537018914E-001 -1.102416290924E+000
  2.299530515754E-002  1.011296656007E-002  4.268944204986E-001 -1.099781864098E+000
  2.397882772639E-002  1.053229537191E-002  4.258140819388E-001 -1.097095254787E+000
  2.498393059493E-002  1.095972862828E-002  4.247127652213E-001 -1.094356667943E+000
  2.601069571024E-002  1.139523250935E-002  4.235905511170E-001 -1.091566312752E+000
  2.705920690860E-002  1.183877244603E-002  4.224475221665E-001 -1.088724402636E+000
  2.812954993023E-002  1.229031311625E-002  4.212837626883E-001 -1.085831155252E+000
  2.922181243436E-002  1.274981844112E-002  4.200993587868E-001 -1.082886792499E+000
  3.033608401473E-002  1.321725158106E-002  4.188943983614E-001 -1.079891540514E+000
  3.147245621542E-002  1.369257493187E-002  4.176689711145E-001 -1.076845629678E+000
  3.263102254705E-002  1.417575012078E-002  4.164231685605E-001 -1.073749294617E+000
  3.381187850339E-002  1.466673800238E-002  4.151570840347E-001 -1.070602774207E+000
  3.501512157837E-002  1.516549865458E-002  4.138708127024E-001 -1.067406311571E+000
  3.624085128345E-002  1.567199137453E-002  4.125644515680E-001 -1.064160154089E+000
  3.748916916538E-002  1.618617467440E-002  4.112380994845E-001 -1.060864553396E+000
  3.876017882444E-002  1.670800627724E-002  4.098918571626E-001 -1.057519765386E+000
  4.005398593302E-002  1.723744311273E-002  4.085258271805E-001 -1.054126050220E+000
  4.137069825459E-002  1.777444131290E-002  4.071401139939E-001 -1.050683672321E+000
