# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  3.972456696439E+003 -6.432047350507E+004  1.061127087221E+006  3.136764473281E-008  9.106553171020E-002
  3.932200719722E-005  3.970560237803E+003 -6.428918681912E+004  1.060601264385E+006  3.136407704637E-008  9.108002794542E-002
  8.847741541467E-005  3.967401357569E+003 -6.423707405985E+004  1.059725437636E+006  3.135838950018E-008  9.110419444203E-002
  1.573003992805E-004  3.962982879240E+003 -6.416418275602E+004  1.058500423109E+006  3.135097227465E-008  9.113804036153E-002
  2.457963722418E-004  3.957308750246E+003 -6.407057935359E+004  1.056927361739E+006  3.134237211392E-008  9.118157853922E-002
  3.539722959954E-004  3.950384036492E+003 -6.395634912163E+004  1.055007717604E+006  3.133329449082E-008  9.123482549351E-002
  4.818366816529E-004  3.942214915348E+003 -6.382159603156E+004  1.052743275808E+006  3.132460556863E-008  9.129780143779E-002
  6.293995911626E-004  3.932808667124E+003 -6.366644261018E+004  1.050136139895E+006  3.131733528585E-008  9.137053029501E-002
  7.966726389935E-004  3.922173665017E+003 -6.349102976643E+004  1.047188728811E+006  3.131267711735E-008  9.145303971498E-002
  9.836689940782E-004  3.910319363568E+003 -6.329551659245E+004  1.043903773409E+006  3.131199653507E-008  9.154536109432E-002
  1.190403382016E-003  3.897256285639E+003 -6.308008013922E+004  1.040284312506E+006  3.131682956113E-008  9.164752959919E-002
  1.416892087541E-003  3.882996007937E+003 -6.284491516714E+004  1.036333688510E+006  3.132888968979E-008  9.175958419073E-002
  1.663152957245E-003  3.867551145110E+003 -6.259023387213E+004  1.032055542608E+006  3.135007143787E-008  9.188156765335E-002
  1.929205402573E-003  3.850935332445E+003 -6.231626558752E+004  1.027453809536E+006  3.138245598213E-008  9.201352662575E-002
  2.215070403073E-003  3.833163207190E+003 -6.202325646264E+004  1.022532711935E+006  3.142831774987E-008  9.215551163487E-002
  2.520770509919E-003  3.814250388551E+003 -6.171146911823E+004  1.017296754311E+006  3.149012740018E-008  9.230757713266E-002
  2.846329849692E-003  3.794213456376E+003 -6.138118227973E+004  1.011750716597E+006  3.157056274425E-008  9.246978153584E-002
  3.191774128432E-003  3.773069928585E+003 -6.103269038884E+004  1.005899647345E+006  3.167251245868E-008  9.264218726858E-002
  3.557130635959E-003  3.750838237373E+003 -6.066630319410E+004  9.997488565444E+005  3.179908546193E-008  9.282486080820E-002
  3.942428250463E-003  3.727537704229E+003 -6.028234532135E+004  9.933039080926E+005  3.195362000647E-008  9.301787273404E-002
  4.347697443358E-003  3.703188513825E+003 -5.988115582467E+004  9.865706119280E+005  3.213969142565E-008  9.322129777927E-002
  4.772970284417E-003  3.677811686802E+003 -5.946308771875E+004  9.795550158352E+005  3.236112253955E-008  9.343521488608E-002
  5.218280447175E-003  3.651429051521E+003 -5.902850749344E+004  9.722633969434E+005  3.262199409030E-008  9.365970726398E-002
  5.683663214611E-003  3.624063214817E+003 -5.857779461138E+004  9.647022529306E+005  3.292665657537E-008  9.389486245147E-002
  6.169155485101E-003  3.595737531802E+003 -5.811134098962E+004  9.568782929504E+005  3.327973948946E-008  9.414077238105E-002
  6.674795778653E-003  3.566476074786E+003 -5.762955046612E+004  9.487984282978E+005  3.368616883872E-008  9.439753344776E-002
  7.200624243425E-003  3.536303601352E+003 -5.713283825211E+004  9.404697628307E+005  3.415117589511E-008  9.466524658115E-002
  7.746682662519E-003  3.505245521656E+003 -5.662163037121E+004  9.318995831648E+005  3.468031351434E-008  9.494401732093E-002
  8.313014461060E-003  3.473327864990E+003 -5.609636308648E+004  9.230953486599E+005  3.527947429802E-008  9.523395589629E-002
  8.899664713569E-003  3.440577245689E+003 -5.555748231609E+004  9.140646812136E+005  3.595490079096E-008  9.553517730901E-002
  9.506680151615E-003  3.407020828412E+003 -5.500544303899E+004  9.048153548842E+005  3.671320856907E-008  9.584780142048E-002
  1.013410917176E-002  3.372686292885E+003 -5.444070869140E+004  8.953552853575E+005  3.756140257699E-008  9.617195304261E-002
  1.078200184380E-002  3.337601798145E+003 -5.386375055513E+004  8.856925192794E+005  3.850689499701E-008  9.650776203295E-002
  1.145040991929E-002  3.301795946350E+003 -5.327504713905E+004  8.758352234706E+005  3.955752863929E-008  9.685536339389E-002
  1.213938684040E-002  3.265297746228E+003 -5.267508355441E+004  8.657916740444E+005  4.072159885172E-008  9.721489737623E-002
  1.284898774901E-002  3.228136576206E+003 -5.206435088546E+004  8.555702454453E+005  4.200787527199E-008  9.758650958712E-002
  1.357926949620E-002  3.190342147299E+003 -5.144334555614E+004  8.451793994288E+005  4.342562641888E-008  9.797035110260E-002
  1.433029065191E-002  3.151944465808E+003 -5.081256869405E+004  8.346276739994E+005  4.498464838181E-008  9.836657858478E-002
  1.510211151509E-002  3.112973795896E+003 -5.017252549284E+004  8.239236723288E+005  4.669529227931E-008  9.877535440379E-002
  1.589479412397E-002  3.073460622100E+003 -4.952372457390E+004  8.130760516707E+005  4.856848913146E-008  9.919684676477E-002
  1.670840226680E-002  3.033435611840E+003 -4.886667734864E+004  8.020935122924E+005  5.061578974398E-008  9.963122983988E-002
  1.754300149280E-002  2.992929577988E+003 -4.820189738217E+004  7.909847864420E+005  5.284939046280E-008  1.000786839055E-001
  1.839865912351E-002  2.951973441559E+003 -4.752989975973E+004  7.797586273684E+005  5.528217063152E-008  1.005393954851E-001
