# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  3.972389690713E+003 -6.431940401315E+004  1.061111460154E+006  2.733364646938E-005  9.106604373430E-002
  3.932200719722E-005  3.970493263612E+003 -6.428811778797E+004  1.060585643909E+006  2.733365609889E-005  9.108054005450E-002
  8.847741541467E-005  3.967334435908E+003 -6.423600579626E+004  1.059709828140E+006  2.733367084362E-005  9.110470669276E-002
  1.573003992805E-004  3.962916031062E+003 -6.416311556619E+004  1.058484828973E+006  2.733368874634E-005  9.113855281058E-002
  2.457963722418E-004  3.957241996450E+003 -6.406951354291E+004  1.056911787330E+006  2.733370706339E-005  9.118209124330E-002
  3.539722959954E-004  3.950317397899E+003 -6.395528499441E+004  1.054992167275E+006  2.733372226265E-005  9.123533850935E-002
  4.818366816529E-004  3.942148412692E+003 -6.382053389087E+004  1.052727753893E+006  2.733373001915E-005  9.129831482216E-002
  6.293995911626E-004  3.932742321032E+003 -6.366538275753E+004  1.050120650706E+006  2.733372521011E-005  9.137104410472E-002
  7.966726389935E-004  3.922107495993E+003 -6.348997250160E+004  1.047173276634E+006  2.733370191037E-005  9.145355400688E-002
  9.836689940782E-004  3.910253391979E+003 -6.329446221326E+004  1.043888362502E+006  2.733365338597E-005  9.154587592532E-002
  1.190403382016E-003  3.897190531697E+003 -6.307902894129E+004  1.040268947095E+006  2.733357208605E-005  9.164804502625E-002
  1.416892087541E-003  3.882930491686E+003 -6.284386744368E+004  1.036318372786E+006  2.733344963487E-005  9.176010027089E-002
  1.663152957245E-003  3.867485886409E+003 -6.258918991369E+004  1.032040280723E+006  2.733327682415E-005  9.188208444369E-002
  1.929205402573E-003  3.850870350952E+003 -6.231522568184E+004  1.027438605601E+006  2.733304360160E-005  9.201404418344E-002
  2.215070403073E-003  3.833098522349E+003 -6.202222089436E+004  1.022517570017E+006  2.733273906090E-005  9.215603001715E-002
  2.520770509919E-003  3.814186019577E+003 -6.171043816873E+004  1.017281678428E+006  2.733235143054E-005  9.230809639685E-002
  2.846329849692E-003  3.794149422239E+003 -6.138015622693E+004  1.011735710718E+006  2.733186805899E-005  9.247030173933E-002
  3.191774128432E-003  3.773006247999E+003 -6.103166950695E+004  1.005884715385E+006  2.733127540421E-005  9.264270846885E-002
  3.557130635959E-003  3.750774928777E+003 -6.066528775348E+004  9.997340023618E+005  2.733055901669E-005  9.282538306281E-002
  3.942428250463E-003  3.727474785780E+003 -6.028133558828E+004  9.932891354873E+005  2.732970352562E-005  9.301839610063E-002
  4.347697443358E-003  3.703126003378E+003 -5.988015206117E+004  9.865559246379E+005  2.732869262044E-005  9.322182231558E-002
  4.772970284417E-003  3.677749601903E+003 -5.946209018242E+004  9.795404175337E+005  2.732750903565E-005  9.343574064992E-002
  5.218280447175E-003  3.651367409392E+003 -5.902751643724E+004  9.722488912372E+005  2.732613453115E-005  9.366023431323E-002
  5.683663214611E-003  3.624002032341E+003 -5.857681028349E+004  9.646878433567E+005  2.732454987101E-005  9.389539084410E-002
  6.169155485101E-003  3.595676825515E+003 -5.811036363326E+004  9.568639829742E+005  2.732273480704E-005  9.414130217511E-002
  6.674795778653E-003  3.566415860864E+003 -5.762858031940E+004  9.487842213104E+005  2.732066805113E-005  9.439806470135E-002
  7.200624243425E-003  3.536243895602E+003 -5.713187554784E+004  9.404556621469E+005  2.731832726060E-005  9.466577935245E-002
  7.746682662519E-003  3.505186339502E+003 -5.662067533679E+004  9.318855920210E+005  2.731568900600E-005  9.494455166816E-002
  8.313014461060E-003  3.473269221465E+003 -5.609541594373E+004  9.230814702116E+005  2.731272875022E-005  9.523449187772E-002
  8.899664713569E-003  3.440519155424E+003 -5.555654328113E+004  9.140509185341E+005  2.730942082195E-005  9.553571498296E-002
  9.506680151615E-003  3.406963305627E+003 -5.500451232210E+004  9.048017109622E+005  2.730573838810E-005  9.584834084527E-002
  1.013410917176E-002  3.372629351382E+003 -5.443978649687E+004  8.953417630958E+005  2.730165342404E-005  9.617249427659E-002
  1.078200184380E-002  3.337545451295E+003 -5.386283708120E+004  8.856791214927E+005  2.729713668550E-005  9.650830513445E-002
  1.145040991929E-002  3.301740207090E+003 -5.327414257772E+004  8.758219528844E+005  2.729215767681E-005  9.685590842122E-002
  1.213938684040E-002  3.265242627051E+003 -5.267418809141E+004  8.657785332932E+005  2.728668461578E-005  9.721544438765E-002
  1.284898774901E-002  3.228082089153E+003 -5.206346470010E+004  8.555572370717E+005  2.728068440406E-005  9.758705864084E-002
  1.357926949620E-002  3.190288303954E+003 -5.144246882124E+004  8.451665258814E+005  2.727412258893E-005  9.797090225673E-002
  1.433029065191E-002  3.151891277292E+003 -5.081170157585E+004  8.346149376325E+005  2.726696332975E-005  9.836713189732E-002
  1.510211151509E-002  3.112921272860E+003 -5.017166815092E+004  8.239110754009E+005  2.725916935620E-005  9.877590993259E-002
  1.589479412397E-002  3.073408774721E+003 -4.952287716113E+004  8.130635963437E+005  2.725070193052E-005  9.919740456752E-002
  1.670840226680E-002  3.033384449816E+003 -4.886584001105E+004  8.020812006307E+005  2.724152080700E-005  9.963178997402E-002
  1.754300149280E-002  2.992879110536E+003 -4.820107025900E+004  7.909726204116E+005  2.723158419176E-005  1.000792464283E-001
  1.839865912351E-002  2.951923677404E+003 -4.752908298328E+004  7.797466088366E+005  2.722084869296E-005  1.005399604534E-001
