# 1st line: number of mesh points
# rho and r_seitz are calculated from total density
# zeta and r_seitz only correct of rho > 1d-12

# abcissa rho drho ddrho zeta r_seitz
500
  9.830308526563E-006  3.972487030846E+003 -6.432096417796E+004  1.061134338575E+006 -3.124261857639E-008  9.106529991369E-002
  3.932200719722E-005  3.970590557743E+003 -6.428967727821E+004  1.060608512574E+006 -3.123904067720E-008  9.107979611190E-002
  8.847741541467E-005  3.967431653409E+003 -6.423756416278E+004  1.059732680551E+006 -3.123333656559E-008  9.110396254683E-002
  1.573003992805E-004  3.963013141366E+003 -6.416467236072E+004  1.058507658648E+006 -3.122589653423E-008  9.113780837997E-002
  2.457963722418E-004  3.957338969073E+003 -6.407106831840E+004  1.056934587804E+006 -3.121726671541E-008  9.118134644661E-002
  3.539722959954E-004  3.950414202466E+003 -6.395683730537E+004  1.055014932107E+006 -3.120815388757E-008  9.123459326517E-002
  4.818366816529E-004  3.942245018960E+003 -6.382208329370E+004  1.052750476669E+006 -3.119942405199E-008  9.129756904900E-002
  6.293995911626E-004  3.932838698913E+003 -6.366692881090E+004  1.050143325046E+006 -3.119210666034E-008  9.137029772106E-002
  7.966726389935E-004  3.922203615578E+003 -6.349151476675E+004  1.047195896198E+006 -3.118739709535E-008  9.145280693114E-002
  9.836689940782E-004  3.910349223561E+003 -6.329600025435E+004  1.043910920992E+006 -3.118666034003E-008  9.154512807585E-002
  1.190403382016E-003  3.897286045795E+003 -6.308056232572E+004  1.040291438261E+006 -3.119143253004E-008  9.164729632132E-002
  1.416892087541E-003  3.883025659065E+003 -6.284539574245E+004  1.036340790433E+006 -3.120342864623E-008  9.175935062869E-002
  1.663152957245E-003  3.867580678107E+003 -6.259071270168E+004  1.032062618712E+006 -3.122454338822E-008  9.188133378234E-002
  1.929205402573E-003  3.850964738298E+003 -6.231674253816E+004  1.027460857858E+006 -3.125685867729E-008  9.201329242096E-002
  2.215070403073E-003  3.833192476988E+003 -6.202373140266E+004  1.022539730534E+006 -3.130264913310E-008  9.215527707147E-002
  2.520770509919E-003  3.814279513487E+003 -6.171194191750E+004  1.017303741270E+006 -3.136438772562E-008  9.230734218580E-002
  2.846329849692E-003  3.794242427757E+003 -6.138165280980E+004  1.011757670026E+006 -3.144475069890E-008  9.246954618064E-002
  3.191774128432E-003  3.773098737838E+003 -6.103315852301E+004  1.005906565381E+006 -3.154662967891E-008  9.264195148015E-002
  3.557130635959E-003  3.750866876051E+003 -6.066676880753E+004  9.997557373523E+005 -3.167313341939E-008  9.282462456165E-002
  3.942428250463E-003  3.727566164017E+003 -6.028280829114E+004  9.933107498692E+005 -3.182760192827E-008  9.301763600444E-002
  4.347697443358E-003  3.703216786546E+003 -5.988161602998E+004  9.865774129013E+005 -3.201361163625E-008  9.322106054170E-002
  4.772970284417E-003  3.677839764424E+003 -5.946354504084E+004  9.795617742660E+005 -3.223498572211E-008  9.343497711559E-002
  5.218280447175E-003  3.651456926162E+003 -5.902896181580E+004  9.722701111268E+005 -3.249580695187E-008  9.365946893561E-002
  5.683663214611E-003  3.624090878750E+003 -5.857824581977E+004  9.647089211972E+005 -3.280042662596E-008  9.389462354026E-002
  6.169155485101E-003  3.595764977461E+003 -5.811178897217E+004  9.568849136675E+005 -3.315347681247E-008  9.414053286206E-002
  6.674795778653E-003  3.566503294771E+003 -5.762999511342E+004  9.488049998704E+005 -3.355988347195E-008  9.439729329602E-002
  7.200624243425E-003  3.536330588435E+003 -5.713327945723E+004  9.404762837027E+005 -3.402488018452E-008  9.466500577172E-002
  7.746682662519E-003  3.505272268784E+003 -5.662206802984E+004  9.319060518201E+005 -3.455402204048E-008  9.494377582887E-002
  8.313014461060E-003  3.473354365293E+003 -5.609679709692E+004  9.231017636230E+005 -3.515320210082E-008  9.523371369669E-002
  8.899664713569E-003  3.440603492480E+003 -5.555791257938E+004  9.140710410510E+005 -3.582866627153E-008  9.553493437700E-002
  9.506680151615E-003  3.407046815195E+003 -5.500586945895E+004  9.048216582049E+005 -3.658703132768E-008  9.584755773120E-002
  1.013410917176E-002  3.372712013357E+003 -5.444113117465E+004  8.953615308142E+005 -3.743530377545E-008  9.617170857127E-002
  1.078200184380E-002  3.337627246199E+003 -5.386416901120E+004  8.856987055687E+005 -3.838089855752E-008  9.650751675481E-002
  1.145040991929E-002  3.301821116083E+003 -5.327546148038E+004  8.758413493342E+005 -3.943166216432E-008  9.685511728428E-002
  1.213938684040E-002  3.265322631938E+003 -5.267549369643E+004  8.657977382696E+005 -4.059589055925E-008  9.721465041055E-002
  1.284898774901E-002  3.228161172401E+003 -5.206475674663E+004  8.555762468657E+005 -4.188235575909E-008  9.758626174088E-002
  1.357926949620E-002  3.190366448695E+003 -5.144374705796E+004  8.451853369243E+005 -4.330033052713E-008  9.797010235141E-002
  1.433029065191E-002  3.151968467336E+003 -5.081296576115E+004  8.346335464974E+005 -4.485961313695E-008  9.836632890438E-002
  1.510211151509E-002  3.112997492702E+003 -5.017291805295E+004  8.239294788043E+005 -4.657055667742E-008  9.877510377008E-002
  1.589479412397E-002  3.073484009547E+003 -4.952411255793E+004  8.130817911466E+005 -4.844409679552E-008  9.919659515380E-002
  1.670840226680E-002  3.033458685512E+003 -4.886706069067E+004  8.020991838398E+005 -5.049178733133E-008  9.963097722788E-002
  1.754300149280E-002  2.992952333691E+003 -4.820227601951E+004  7.909903891806E+005 -5.272582771411E-008  1.000784302689E-001
  1.839865912351E-002  2.951995875320E+003 -4.753027363290E+004  7.797641604667E+005 -5.515910157702E-008  1.005391408006E-001
