# 1st line: number of mesh points
# abcissa wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0010
  9.830308526563E-006  1.922447770631E+000 -1.974541377068E+000  2.047142601576E+000
  3.932200719722E-005  1.922389538942E+000 -1.974481004137E+000  2.047089561084E+000
  8.847741541467E-005  1.922292484995E+000 -1.974380380787E+000  2.047001155594E+000
  1.573003992805E-004  1.922156607094E+000 -1.974239504319E+000  2.046877378107E+000
  2.457963722418E-004  1.921981902863E+000 -1.974058370956E+000  2.046718218821E+000
  3.539722959954E-004  1.921768369250E+000 -1.973836975845E+000  2.046523665139E+000
  4.818366816529E-004  1.921516002527E+000 -1.973575313056E+000  2.046293701666E+000
  6.293995911626E-004  1.921224798289E+000 -1.973273375584E+000  2.046028310213E+000
  7.966726389935E-004  1.920894751460E+000 -1.972931155354E+000  2.045727469800E+000
  9.836689940782E-004  1.920525856291E+000 -1.972548643219E+000  2.045391156657E+000
  1.190403382016E-003  1.920118106361E+000 -1.972125828963E+000  2.045019344232E+000
  1.416892087541E-003  1.919671494583E+000 -1.971662701308E+000  2.044612003186E+000
  1.663152957245E-003  1.919186013204E+000 -1.971159247913E+000  2.044169101407E+000
  1.929205402573E-003  1.918661653807E+000 -1.970615455377E+000  2.043690604005E+000
  2.215070403073E-003  1.918098407316E+000 -1.970031309248E+000  2.043176473325E+000
  2.520770509919E-003  1.917496263996E+000 -1.969406794019E+000  2.042626668947E+000
  2.846329849692E-003  1.916855213458E+000 -1.968741893140E+000  2.042041147694E+000
  3.191774128432E-003  1.916175244662E+000 -1.968036589018E+000  2.041419863635E+000
  3.557130635959E-003  1.915456345923E+000 -1.967290863024E+000  2.040762768095E+000
  3.942428250463E-003  1.914698504909E+000 -1.966504695495E+000  2.040069809663E+000
  4.347697443358E-003  1.913901708652E+000 -1.965678065745E+000  2.039340934192E+000
  4.772970284417E-003  1.913065943548E+000 -1.964810952067E+000  2.038576084816E+000
  5.218280447175E-003  1.912191195363E+000 -1.963903331740E+000  2.037775201951E+000
  5.683663214611E-003  1.911277449237E+000 -1.962955181035E+000  2.036938223306E+000
  6.169155485101E-003  1.910324689691E+000 -1.961966475223E+000  2.036065083895E+000
  6.674795778653E-003  1.909332900630E+000 -1.960937188584E+000  2.035155716041E+000
  7.200624243425E-003  1.908302065351E+000 -1.959867294408E+000  2.034210049390E+000
  7.746682662519E-003  1.907232166546E+000 -1.958756765010E+000  2.033228010919E+000
  8.313014461060E-003  1.906123186310E+000 -1.957605571734E+000  2.032209524951E+000
  8.899664713569E-003  1.904975106148E+000 -1.956413684966E+000  2.031154513160E+000
  9.506680151615E-003  1.903787906978E+000 -1.955181074135E+000  2.030062894589E+000
  1.013410917176E-002  1.902561569143E+000 -1.953907707730E+000  2.028934585657E+000
  1.078200184380E-002  1.901296072414E+000 -1.952593553306E+000  2.027769500177E+000
  1.145040991929E-002  1.899991395998E+000 -1.951238577496E+000  2.026567549366E+000
  1.213938684040E-002  1.898647518547E+000 -1.949842746016E+000  2.025328641859E+000
  1.284898774901E-002  1.897264418166E+000 -1.948406023684E+000  2.024052683726E+000
  1.357926949620E-002  1.895842072419E+000 -1.946928374425E+000  2.022739578485E+000
  1.433029065191E-002  1.894380458340E+000 -1.945409761283E+000  2.021389227116E+000
  1.510211151509E-002  1.892879552440E+000 -1.943850146436E+000  2.020001528082E+000
  1.589479412397E-002  1.891339330715E+000 -1.942249491205E+000  2.018576377341E+000
  1.670840226680E-002  1.889759768658E+000 -1.940607756068E+000  2.017113668364E+000
  1.754300149280E-002  1.888140841269E+000 -1.938924900673E+000  2.015613292156E+000
  1.839865912351E-002  1.886482523060E+000 -1.937200883852E+000  2.014075137271E+000
  1.927544426443E-002  1.884784788071E+000 -1.935435663633E+000  2.012499089833E+000
  2.017342781695E-002  1.883047609875E+000 -1.933629197256E+000  2.010885033556E+000
  2.109268249069E-002  1.881270961594E+000 -1.931781441188E+000  2.009232849763E+000
  2.203328281612E-002  1.879454815905E+000 -1.929892351136E+000  2.007542417408E+000
  2.299530515754E-002  1.877599145058E+000 -1.927961882063E+000  2.005813613096E+000
  2.397882772639E-002  1.875703920878E+000 -1.925989988209E+000  2.004046311109E+000
  2.498393059493E-002  1.873769114788E+000 -1.923976623097E+000  2.002240383427E+000
  2.601069571024E-002  1.871794697812E+000 -1.921921739562E+000  2.000395699750E+000
  2.705920690860E-002  1.869780640594E+000 -1.919825289759E+000  1.998512127527E+000
  2.812954993023E-002  1.867726913407E+000 -1.917687225186E+000  1.996589531977E+000
  2.922181243436E-002  1.865633486169E+000 -1.915507496701E+000  1.994627776119E+000
  3.033608401473E-002  1.863500328456E+000 -1.913286054538E+000  1.992626720794E+000
  3.147245621542E-002  1.861327409513E+000 -1.911022848332E+000  1.990586224698E+000
  3.263102254705E-002  1.859114698275E+000 -1.908717827134E+000  1.988506144408E+000
  3.381187850339E-002  1.856862163374E+000 -1.906370939433E+000  1.986386334409E+000
  3.501512157837E-002  1.854569773161E+000 -1.903982133178E+000  1.984226647128E+000
  3.624085128345E-002  1.852237495716E+000 -1.901551355798E+000  1.982026932964E+000
  3.748916916538E-002  1.849865298867E+000 -1.899078554222E+000  1.979787040320E+000
  3.876017882444E-002  1.847453150206E+000 -1.896563674907E+000  1.977506815632E+000
  4.005398593302E-002  1.845001017105E+000 -1.894006663854E+000  1.975186103409E+000
  4.137069825459E-002  1.842508866732E+000 -1.891407466638E+000  1.972824746264E+000
