# 1st line: number of mesh points
# abcissa nuclear coulomb dft-vxc_up dft-vxc_down
500
  9.830308526563E-006 -1.017262069952E+005  9.439229626730E-001 -1.928203176145E+003 -1.925440394943E+003
  3.932200719722E-005 -2.543105175136E+004  9.439229618881E-001 -4.825896184351E+002 -4.818992702595E+002
  8.847741541467E-005 -1.130231930164E+004  9.439229580326E-001 -2.148833833023E+002 -2.145768190077E+002
  1.573003992805E-004 -6.357262947672E+003  9.439229476205E-001 -1.211861765047E+002 -1.210139365533E+002
  2.457963722418E-004 -4.068408296183E+003  9.439229256516E-001 -7.781772818956E+001 -7.770766120336E+001
  3.539722959954E-004 -2.825079847529E+003  9.439228857053E-001 -5.425953021005E+001 -5.418323617506E+001
  4.818366816529E-004 -2.075392011604E+003  9.439228199158E-001 -4.005465012771E+001 -3.999872009882E+001
  6.293995911626E-004 -1.588815776243E+003  9.439227189944E-001 -3.083510597415E+001 -3.079239294961E+001
  7.966726389935E-004 -1.255220715579E+003  9.439225722137E-001 -2.451418549476E+001 -2.448053398561E+001
  9.836689940782E-004 -1.016602135495E+003  9.439223674198E-001 -1.999283631347E+001 -1.996566643331E+001
  1.190403382016E-003 -8.400513767914E+002  9.439220910202E-001 -1.664751682322E+001 -1.662514259555E+001
  1.416892087541E-003 -7.057700503752E+002  9.439217279900E-001 -1.410309416504E+001 -1.408436740418E+001
  1.663152957245E-003 -6.012676077950E+002  9.439212618677E-001 -1.212290185236E+001 -1.210701365794E+001
  1.929205402573E-003 -5.183481233601E+002  9.439206747521E-001 -1.055164638720E+001 -1.053801048777E+001
  2.215070403073E-003 -4.514529193350E+002  9.439199473054E-001 -9.284003910223E+000 -9.272185026686E+000
  2.520770509919E-003 -3.967041014107E+002  9.439190587462E-001 -8.246497449961E+000 -8.236165639884E+000
  2.846329849692E-003 -3.513296254502E+002  9.439179868503E-001 -7.386603291466E+000 -7.377503910453E+000
  3.191774128432E-003 -3.133053780630E+002  9.439167079501E-001 -6.665969245946E+000 -6.657902631322E+000
  3.557130635959E-003 -2.811254638474E+002  9.439151969286E-001 -6.056062134909E+000 -6.048869529180E+000
  3.942428250463E-003 -2.536507797910E+002  9.439134272212E-001 -5.535298631603E+000 -5.528852219138E+000
  4.347697443358E-003 -2.300068054477E+002  9.439113708109E-001 -5.087108625540E+000 -5.081304345622E+000
  4.772970284417E-003 -2.095131417987E+002  9.439089982267E-001 -4.698600149820E+000 -4.693352423649E+000
  5.218280447175E-003 -1.916340085825E+002  9.439062785413E-001 -4.359621422100E+000 -4.354859224466E+000
  5.683663214611E-003 -1.759428668168E+002  9.439031793676E-001 -4.062090524683E+000 -4.057754416602E+000
  6.169155485101E-003 -1.620967411853E+002  9.438996668562E-001 -3.799508874207E+000 -3.795548733053E+000
  6.674795778653E-003 -1.498173177370E+002  9.438957056930E-001 -3.566603067567E+000 -3.562976330649E+000
  7.200624243425E-003 -1.388768482001E+002  9.438912590957E-001 -3.359057801836E+000 -3.355728092867E+000
  7.746682662519E-003 -1.290875131414E+002  9.438862888107E-001 -3.173314331197E+000 -3.170250375689E+000
  8.313014461060E-003 -1.202933069206E+002  9.438807551098E-001 -3.006416705928E+000 -3.003591467025E+000
  8.899664713569E-003 -1.123637836013E+002  9.438746167869E-001 -2.855893272142E+000 -2.853283256328E+000
  9.506680151615E-003 -1.051891916055E+002  9.438678311544E-001 -2.719664484948E+000 -2.717249179921E+000
  1.013410917176E-002 -9.867665554529E+001  9.438603540403E-001 -2.595970563155E+000 -2.593731979416E+000
  1.078200184380E-002 -9.274715535088E+001  9.438521397835E-001 -2.483314250852E+000 -2.481236545341E+000
  1.145040991929E-002 -8.733311794502E+001  9.438431412304E-001 -2.380415185320E+000 -2.378484350482E+000
  1.213938684040E-002 -8.237648351994E+001  9.438333097315E-001 -2.286173257527E+000 -2.284376862896E+000
  1.284898774901E-002 -7.782714245929E+001  9.438225951368E-001 -2.199638995481E+000 -2.197965971728E+000
  1.357926949620E-002 -7.364166388185E+001  9.438109457918E-001 -2.119989473128E+000 -2.118429930643E+000
  1.433029065191E-002 -6.978225524452E+001  9.437983085336E-001 -2.046508597278E+000 -2.045053673015E+000
  1.510211151509E-002 -6.621590623276E+001  9.437846286866E-001 -1.978570886346E+000 -1.977212613918E+000
  1.589479412397E-002 -6.291368055481E+001  9.437698500578E-001 -1.915628051520E+000 -1.914359250537E+000
  1.670840226680E-002 -5.985012714155E+001  9.437539149324E-001 -1.857197840383E+000 -1.856012021781E+000
  1.754300149280E-002 -5.700278828629E+001  9.437367640697E-001 -1.802854717323E+000 -1.801746002054E+000
  1.839865912351E-002 -5.435178690397E+001  9.437183366983E-001 -1.752222043068E+000 -1.751185092001E+000
  1.927544426443E-002 -5.187947869225E+001  9.436985705109E-001 -1.704965483953E+000 -1.703995437224E+000
  2.017342781695E-002 -4.957015778746E+001  9.436774016601E-001 -1.660787434801E+000 -1.659879859157E+000
  2.109268249069E-002 -4.740980671574E+001  9.436547647535E-001 -1.619422281078E+000 -1.618573124018E+000
  2.203328281612E-002 -4.538588318162E+001  9.436305928485E-001 -1.580632359048E+000 -1.579837908746E+000
  2.299530515754E-002 -4.348713762001E+001  9.436048174473E-001 -1.544204498804E+000 -1.543461349000E+000
  2.397882772639E-002 -4.170345654134E+001  9.435773684922E-001 -1.509947056035E+000 -1.509252075173E+000
  2.498393059493E-002 -4.002572758518E+001  9.435481743600E-001 -1.477687355109E+000 -1.477037659139E+000
  2.601069571024E-002 -3.844572291106E+001  9.435171618573E-001 -1.447269479599E+000 -1.446662407956E+000
  2.705920690860E-002 -3.695599813319E+001  9.434842562147E-001 -1.418552357341E+000 -1.417985451660E+000
  2.812954993023E-002 -3.554980447538E+001  9.434493810820E-001 -1.391408095974E+000 -1.390879081194E+000
  2.922181243436E-002 -3.422101220608E+001  9.434124585226E-001 -1.365720532215E+000 -1.365227299766E+000
  3.033608401473E-002 -3.296404372807E+001  9.433734090082E-001 -1.341383964066E+000 -1.340924556870E+000
  3.147245621542E-002 -3.177381495601E+001  9.433321514131E-001 -1.318302040061E+000 -1.317874639123E+000
  3.263102254705E-002 -3.064568382919E+001  9.432886030092E-001 -1.296386783697E+000 -1.295989696106E+000
  3.381187850339E-002 -2.957540498378E+001  9.432426794601E-001 -1.275557734591E+000 -1.275189382734E+000
  3.501512157837E-002 -2.855908975674E+001  9.431942948156E-001 -1.255741190639E+000 -1.255400102518E+000
  3.624085128345E-002 -2.759317081651E+001  9.431433615063E-001 -1.236869537858E+000 -1.236554338360E+000
  3.748916916538E-002 -2.667437081864E+001  9.430897903380E-001 -1.218880656481E+000 -1.218590059501E+000
  3.876017882444E-002 -2.579967457140E+001  9.430334904857E-001 -1.201717393566E+000 -1.201450194883E+000
  4.005398593302E-002 -2.496630426925E+001  9.429743694887E-001 -1.185327093723E+000 -1.185082164556E+000
  4.137069825459E-002 -2.417169741362E+001  9.429123332443E-001 -1.169661180772E+000 -1.169437461927E+000
  4.271042566323E-002 -2.341348709294E+001  9.428472860025E-001 -1.154674784094E+000 -1.154471280655E+000
  4.407328016341E-002 -2.268948433818E+001  9.427791303603E-001 -1.140326404311E+000 -1.140142180801E+000
  4.545937591035E-002 -2.199766230782E+001  9.427077672561E-001 -1.126577613628E+000 -1.126411789610E+000
  4.686882923075E-002 -2.133614208874E+001  9.426330959641E-001 -1.113392786798E+000 -1.113244532854E+000
  4.830175864396E-002 -2.070317992707E+001  9.425550140887E-001 -1.100738859175E+000 -1.100607393235E+000
  4.975828488365E-002 -2.009715572669E+001  9.424734175589E-001 -1.088585108790E+000 -1.088469692771E+000
  5.123853091993E-002 -1.951656267356E+001  9.423882006227E-001 -1.076902959755E+000 -1.076802896486E+000
  5.274262198188E-002 -1.895999786176E+001  9.422992558420E-001 -1.065665804654E+000 -1.065580435053E+000
  5.427068558066E-002 -1.842615381215E+001  9.422064740865E-001 -1.054848843840E+000 -1.054777544319E+000
  5.582285153302E-002 -1.791381078784E+001  9.421097445288E-001 -1.044428939832E+000 -1.044371119917E+000
  5.739925198530E-002 -1.742182982203E+001  9.420089546390E-001 -1.034384485214E+000 -1.034339585346E+000
  5.900002143803E-002 -1.694914638379E+001  9.419039901793E-001 -1.024695282611E+000 -1.024662772131E+000
  6.062529677088E-002 -1.649476461582E+001  9.417947351985E-001 -1.015342435517E+000 -1.015321810793E+000
  6.227521726827E-002 -1.605775208607E+001  9.416810720275E-001 -1.006308248849E+000 -1.006299031557E+000
  6.394992464542E-002 -1.563723500136E+001  9.415628812738E-001 -9.975761382551E-001 -9.975778737854E-001
  6.564956307496E-002 -1.523239383723E+001  9.414400418165E-001 -9.891305473174E-001 -9.891428032986E-001
  6.737427921404E-002 -1.484245934302E+001  9.413124308018E-001 -9.809568718549E-001 -9.809792367897E-001
  6.912422223211E-002 -1.446670888596E+001  9.411799236378E-001 -9.730413906561E-001 -9.730734726543E-001
  7.089954383907E-002 -1.410446310162E+001  9.410423939903E-001 -9.653712020154E-001 -9.654126276179E-001
  7.270039831418E-002 -1.375508282195E+001  9.408997137779E-001 -9.579341655262E-001 -9.579845786136E-001
  7.452694253540E-002 -1.341796625462E+001  9.407517531676E-001 -9.507188486408E-001 -9.507779094170E-001
  7.637933600943E-002 -1.309254639077E+001  9.405983805712E-001 -9.437144775529E-001 -9.437818616006E-001
  7.825774090225E-002 -1.277828862002E+001  9.404394626403E-001 -9.369108920107E-001 -9.369862894110E-001
  8.016232207035E-002 -1.247468853413E+001  9.402748642629E-001 -9.302985037037E-001 -9.303816182152E-001
  8.209324709253E-002 -1.218126990242E+001  9.401044485596E-001 -9.238682579036E-001 -9.239588061970E-001
  8.405068630235E-002 -1.189758280382E+001  9.399280768800E-001 -9.176115980730E-001 -9.177093090161E-001
  8.603481282122E-002 -1.162320190175E+001  9.397456087989E-001 -9.115204331809E-001 -9.116250471704E-001
  8.804580259214E-002 -1.135772484956E+001  9.395569021138E-001 -9.055871074923E-001 -9.056983758291E-001
  9.008383441408E-002 -1.110077081537E+001  9.393618128414E-001 -8.998043726191E-001 -8.999220569237E-001
  9.214908997710E-002 -1.085197911611E+001  9.391601952150E-001 -8.941653616417E-001 -8.942892333067E-001
  9.424175389809E-002 -1.061100795175E+001  9.389519016818E-001 -8.886635651276E-001 -8.887934048041E-001
  9.636201375725E-002 -1.037753323129E+001  9.387367829009E-001 -8.832928088893E-001 -8.834284060064E-001
  9.851006013526E-002 -1.015124748302E+001  9.385146877409E-001 -8.780472333401E-001 -8.781883856522E-001
  1.006860866512E-001 -9.931858842267E+000  9.382854632786E-001 -8.729212743162E-001 -8.730677874796E-001
  1.028902900012E-001 -9.719090110332E+000  9.380489547969E-001 -8.679096452486E-001 -8.680613324224E-001
  1.051228699979E-001 -9.512677878945E+000  9.378050057841E-001 -8.630073205774E-001 -8.631640020490E-001
  1.073840296104E-001 -9.312371715124E+000  9.375534579326E-001 -8.582095203094E-001 -8.583710231414E-001
  1.096739750056E-001 -9.117933401693E+000  9.372941511387E-001 -8.535116956311E-001 -8.536778533296E-001
  1.119929155896E-001 -8.929136229160E+000  9.370269235020E-001 -8.489095154948E-001 -8.490801676962E-001
  1.143410640503E-001 -8.745764335025E+000  9.367516113256E-001 -8.443988541033E-001 -8.445738462799E-001
  1.167186364011E-001 -8.567612086926E+000  9.364680491166E-001 -8.399757792261E-001 -8.401549624073E-001
  1.191258520249E-001 -8.394483506327E+000  9.361760695868E-001 -8.356365412823E-001 -8.358197717926E-001
  1.215629337189E-001 -8.226191729726E+000  9.358755036540E-001 -8.313775631364E-001 -8.315647023476E-001
  1.240301077413E-001 -8.062558504629E+000  9.355661804435E-001 -8.271954305517E-001 -8.273863446485E-001
  1.265276038575E-001 -7.903413717736E+000  9.352479272902E-001 -8.230868832546E-001 -8.232814430131E-001
  1.290556553882E-001 -7.748594953021E+000  9.349205697409E-001 -8.190488065651E-001 -8.192468871441E-001
  1.316144992580E-001 -7.597947077547E+000  9.345839315573E-001 -8.150782235536E-001 -8.152797042959E-001
  1.342043760450E-001 -7.451321853057E+000  9.342378347192E-001 -8.111722876854E-001 -8.113770519307E-001
  1.368255300316E-001 -7.308577571516E+000  9.338820994288E-001 -8.073282759199E-001 -8.075362108269E-001
  1.394782092560E-001 -7.169578712934E+000  9.335165441143E-001 -8.035435822315E-001 -8.037545786098E-001
  1.421626655646E-001 -7.034195623922E+000  9.331409854352E-001 -7.998157115237E-001 -8.000296636740E-001
  1.448791546661E-001 -6.902304215570E+000  9.327552382875E-001 -7.961422739095E-001 -7.963590794725E-001
  1.476279361856E-001 -6.773785679311E+000  9.323591158100E-001 -7.925209793329E-001 -7.927405391453E-001
  1.504092737207E-001 -6.648526219580E+000  9.319524293901E-001 -7.889496325081E-001 -7.891718504665E-001
  1.532234348983E-001 -6.526416802128E+000  9.315349886715E-001 -7.854261281561E-001 -7.856509110872E-001
  1.560706914324E-001 -6.407352916949E+000  9.311066015613E-001 -7.819484465184E-001 -7.821757040562E-001
  1.589513191834E-001 -6.291234354880E+000  9.306670742391E-001 -7.785146491292E-001 -7.787442935976E-001
  1.618655982178E-001 -6.177964996951E+000  9.302162111651E-001 -7.751228748300E-001 -7.753548211317E-001
  1.648138128702E-001 -6.067452615683E+000  9.297538150901E-001 -7.717713360104E-001 -7.720055015212E-001
  1.677962518056E-001 -5.959608687557E+000  9.292796870658E-001 -7.684583150612E-001 -7.686946195286E-001
  1.708132080832E-001 -5.854348215936E+000  9.287936264559E-001 -7.651821610248E-001 -7.654205264725E-001
  1.738649792215E-001 -5.751589563796E+000  9.282954309476E-001 -7.619412864327E-001 -7.621816370688E-001
  1.769518672648E-001 -5.651254295630E+000  9.277848965642E-001 -7.587341643158E-001 -7.589764264461E-001
  1.800741788507E-001 -5.553267027968E+000  9.272618176781E-001 -7.555593253797E-001 -7.558034273241E-001
  1.832322252791E-001 -5.457555287978E+000  9.267259870254E-001 -7.524153553313E-001 -7.526612273449E-001
  1.864263225826E-001 -5.364049379651E+000  9.261771957202E-001 -7.493008923510E-001 -7.495484665484E-001
  1.896567915983E-001 -5.272682257105E+000  9.256152332705E-001 -7.462146246994E-001 -7.464638349823E-001
  1.929239580409E-001 -5.183389404586E+000  9.250398875950E-001 -7.431552884502E-001 -7.434060704389E-001
